node	Location	genotype
JF357906	Central America	AsianAmerican
FJ205885	Central America	AsianAmerican
n168	Central America	AsianAmerican
FJ850050	Central America	AsianAmerican
JN819424	Central America	AsianAmerican
EU920846	South America	AsianAmerican
EU920850	Caribbean	AsianAmerican
GQ199890	South America	AsianAmerican
JX669476	South America	AsianAmerican
n200	South America	AsianAmerican
n197	South America	AsianAmerican
JX669477	South America	AsianAmerican
JX567950	South America	AsianAmerican
n263	South-eastern Asia	AsianI
FJ410221	South-eastern Asia	AsianI
n280	South-eastern Asia	AsianI
n316	South-eastern Asia	AsianI
n269	South-eastern Asia	AsianI
FM210214	South-eastern Asia	AsianI
EU482776	South-eastern Asia	AsianI
n273	South-eastern Asia	AsianI
EU660413	South-eastern Asia	AsianI
FJ639707	South-eastern Asia	AsianI
EU687249	South-eastern Asia	AsianI
GQ868631	South-eastern Asia	AsianI
KF955402	South-eastern Asia	AsianI
JF730047	South-eastern Asia	AsianI
JN368476	South-eastern Asia	AsianI
FJ639706	South-eastern Asia	AsianI
GQ868623	South-eastern Asia	AsianI
n90	Caribbean	AsianAmerican
EU482556	Caribbean	AsianAmerican
EU596490	Caribbean	AsianAmerican
EU529706	Caribbean	AsianAmerican
n94	Caribbean	AsianAmerican
EU482721	Caribbean	AsianAmerican
FJ744708	Central America	AsianAmerican
HQ705625	Central America	AsianAmerican
GU131881	South America	AsianAmerican
HM181971	South America	AsianAmerican
n198	South America	AsianAmerican
JX669478	South America	AsianAmerican
n264	South-eastern Asia	AsianI
EU482661	South-eastern Asia	AsianI
n281	South-eastern Asia	AsianI
n282	South-eastern Asia	AsianI
n317	South-eastern Asia	AsianI
EU482705	South-eastern Asia	AsianI
EU482649	South-eastern Asia	AsianI
EU482669	South-eastern Asia	AsianI
n274	South-eastern Asia	AsianI
FM210211	South-eastern Asia	AsianI
EU482552	Caribbean	AsianAmerican
KF955364	Caribbean	AsianAmerican
EU482551	Caribbean	AsianAmerican
EU596489	Caribbean	AsianAmerican
JX286520	South America	AsianAmerican
JX286525	South America	AsianAmerican
KC294211	South America	AsianAmerican
n265	South-eastern Asia	AsianI
EU482451	South-eastern Asia	AsianI
FJ024461	South-eastern Asia	AsianI
EU482676	South-eastern Asia	AsianI
n283	South-eastern Asia	AsianI
n289	South-eastern Asia	AsianI
n318	South-eastern Asia	AsianI
EU482464	South-eastern Asia	AsianI
n275	South-eastern Asia	AsianI
EU482541	South-eastern Asia	AsianI
FJ410224	South-eastern Asia	AsianI
FJ410215	South-eastern Asia	AsianI
n284	South-eastern Asia	AsianI
n288	South-eastern Asia	AsianI
n290	South-eastern Asia	AsianI
n296	South-eastern Asia	AsianI
EU482658	South-eastern Asia	AsianI
EU482659	South-eastern Asia	AsianI
n276	South-eastern Asia	AsianI
n277	South-eastern Asia	AsianI
EU482474	South-eastern Asia	AsianI
n286	South-eastern Asia	AsianI
FJ410217	South-eastern Asia	AsianI
EU482670	South-eastern Asia	AsianI
EU482656	South-eastern Asia	AsianI
FM210207	South-eastern Asia	AsianI
FM210246	South-eastern Asia	AsianI
n293	South-eastern Asia	AsianI
EU482642	South-eastern Asia	AsianI
n297	South-eastern Asia	AsianI
n302	South-eastern Asia	AsianI
FJ410228	South-eastern Asia	AsianI
FJ432726	South-eastern Asia	AsianI
EU482469	South-eastern Asia	AsianI
FJ410259	South-eastern Asia	AsianI
n287	South-eastern Asia	AsianI
EU482699	South-eastern Asia	AsianI
n294	South-eastern Asia	AsianI
n295	South-eastern Asia	AsianI
n298	South-eastern Asia	AsianI
n301	South-eastern Asia	AsianI
n304	South-eastern Asia	AsianI
n305	South-eastern Asia	AsianI
n307	South-eastern Asia	AsianI
n314	South-eastern Asia	AsianI
FJ562098	South-eastern Asia	AsianI
EU482701	South-eastern Asia	AsianI
FJ205877	South-eastern Asia	AsianI
FJ410195	South-eastern Asia	AsianI
FJ024452	South-eastern Asia	AsianI
FM210206	South-eastern Asia	AsianI
FJ390385	South-eastern Asia	AsianI
n300	South-eastern Asia	AsianI
GU131899	South-eastern Asia	AsianI
EU482679	South-eastern Asia	AsianI
EU482467	South-eastern Asia	AsianI
FJ547067	South-eastern Asia	AsianI
EU482654	South-eastern Asia	AsianI
EU482645	South-eastern Asia	AsianI
FJ410223	South-eastern Asia	AsianI
n308	South-eastern Asia	AsianI
n313	South-eastern Asia	AsianI
n315	South-eastern Asia	AsianI
FJ461309	South-eastern Asia	AsianI
FJ410202	South-eastern Asia	AsianI
FJ205879	South-eastern Asia	AsianI
n309	South-eastern Asia	AsianI
EU677148	South-eastern Asia	AsianI
FJ024454	South-eastern Asia	AsianI
FJ859028	South-eastern Asia	AsianI
JF730049	South-eastern Asia	AsianI
FJ410241	South-eastern Asia	AsianI
n310	South-eastern Asia	AsianI
FJ461311	South-eastern Asia	AsianI
FJ547064	South-eastern Asia	AsianI
n312	South-eastern Asia	AsianI
FJ390387	South-eastern Asia	AsianI
FJ410237	South-eastern Asia	AsianI
EU482652	South-eastern Asia	AsianI
