node	Africa	Albania	EastEurope	Greece	WestEurope
ROOT	0.9523293411084433	0.0008756296131760149	0.010575576242399885	0.011287925859465421	0.02493152717651543
node_1	0.9551716438844298	8.136653641425787e-05	0.0004326257293463179	0.0010489115653079355	0.04326545228450176
node_2	0.9775395076669748	0.00022131947981421252	0.014235273251922666	0.00285310971249307	0.005150789888795208
node_3	0.9529607657190827	0.00012385005665198128	0.0005323317665601512	0.0015965743734697529	0.04478647808423554
node_4	0.9444467493940004	9.673736242198758e-05	0.0003960392002056313	0.0012470594753978348	0.053813414567974
00CZAY4286	0.0	0.0	1.0	0.0	0.0
node_5	0.9999588760483408	3.9458503518772747e-07	2.630631384923565e-05	5.134842529240218e-06	9.288210245491545e-06
97CDAF6238	1.0	0.0	0.0	0.0	0.0
94CYAF6237	0.0	0.0	0.0	0.0	1.0
97CDAF6240	1.0	0.0	0.0	0.0	0.0
node_6	0.11495592387634936	0.0004244162350236069	0.0012262452955351492	0.005471227767128791	0.8779221868259631
node_7	0.9999756826542481	1.8928873102238427e-07	1.2135525942905824e-05	3.482664807117434e-06	8.509866270852303e-06
node_8	0.9999974415241493	3.290144219912639e-08	7.972536077840635e-07	4.281196121047291e-07	1.3002011886555041e-06
03ESAY2109	0.0	0.0	0.0	0.0	1.0
03ESAY2098	0.0	0.0	0.0	0.0	1.0
85UGM62320	1.0	0.0	0.0	0.0	0.0
node_9	0.9999022676544798	2.3724310350065363e-07	4.740740943782108e-05	1.0074565613425085e-05	4.001312736542439e-05
node_10	0.9978067394667562	1.2340232992206705e-05	3.532392485336425e-05	0.00015908071966182035	0.001986515655736339
node_11	0.9999988093174508	2.8638920504527618e-08	9.359642181396906e-08	5.065266276350937e-07	5.619205793475866e-07
node_12	0.9999654653502166	4.934278445903763e-07	1.8514270436074744e-06	6.427318446507482e-06	2.5762476448808234e-05
node_13	0.9999022676544798	2.3724310350065363e-07	4.740740943782108e-05	1.0074565613425085e-05	4.001312736542439e-05
99SEAY5206	0.0	0.0	0.0	0.0	1.0
node_14	0.9999995801822786	2.951439105694414e-09	8.443260162727859e-09	3.8047635852137906e-08	3.7037538621867453e-07
node_15	0.9999185513277988	3.0028010224036856e-07	8.577774107818939e-07	4.58678612109809e-05	3.4422753477090694e-05
node_16	0.999967834943452	9.917146664354895e-07	2.8322626694601117e-06	1.2792255139466927e-05	1.5548824072685203e-05
00GAAJ3391	1.0	0.0	0.0	0.0	0.0
node_17	0.9999165435283333	5.253693414244488e-07	1.6221300589691028e-06	6.790961434414308e-06	7.451801083208503e-05
node_18	0.9954641811071238	1.7159483448261814e-05	0.00014824305765312782	0.0008634548053361253	0.003506961546438772
node_19	0.0008697210555042462	9.426491383455358e-06	0.9988515676652076	0.00012152454882062958	0.0001477602390839444
99SDAY2494	1.0	0.0	0.0	0.0	0.0
node_20	0.9999995801822786	2.951439105694414e-09	8.443260162727859e-09	3.8047635852137906e-08	3.7037538621867453e-07
node_21	0.9977134514475864	8.06513218959497e-06	2.3028280936286872e-05	0.0012899525590312811	0.0009655025802564115
node_22	0.9999919390375527	1.5965474591145916e-07	4.558690716398308e-07	3.747783032544765e-06	3.6976555972947907e-06
00KEAF7081	1.0	0.0	0.0	0.0	0.0
node_23	0.9999999654468213	6.53752274389741e-10	1.8666345541746536e-09	8.442960570208123e-09	2.3589831276452625e-08
98CMAJ6934	1.0	0.0	0.0	0.0	0.0
node_24	0.998216800245182	1.0018843871755392e-05	2.871076174233369e-05	0.0001291704559174685	0.0016152996932864896
node_25	0.09407361022426185	0.0009926181029432794	0.03956390950716911	0.4182294309882434	0.44714043117738245
node_26	0.992829442869804	4.481797452253939e-05	0.0001908854113558737	0.0009849145376436591	0.005949939206673853
00CZAY4248	0.0	0.0	1.0	0.0	0.0
node_27	2.0733589103361837e-06	3.847723437462397e-08	0.9999967890510074	4.960358553270164e-07	6.030769925906638e-07
90UGAF7846	1.0	0.0	0.0	0.0	0.0
node_28	0.9999990317338547	2.954208215296345e-08	8.435011048925095e-08	3.808324150509483e-07	4.7354153752241885e-07
99ESAY7467	0.0	0.0	0.0	0.0	1.0
node_29	0.9846964154818638	5.672445013872301e-05	0.00016196222663597367	0.013297719800646484	0.0017871780407148726
97CMAJ6931	1.0	0.0	0.0	0.0	0.0
node_30	0.9999620583238072	1.152605348055611e-06	3.2909692021951977e-06	1.5195943336732712e-05	1.8302158305751387e-05
98SDAY2482	1.0	0.0	0.0	0.0	0.0
node_31	0.9999999654468213	6.53752274389741e-10	1.8666345541746536e-09	8.442960570208123e-09	2.3589831276452625e-08
00GAAJ3398	1.0	0.0	0.0	0.0	0.0
03ESAY2099	0.0	0.0	0.0	0.0	1.0
node_32	0.00636730176679506	0.00010737691357651252	0.0027460018350081196	0.2873992172465195	0.7033801022381009
node_33	0.03784632068579581	0.001082291956516531	0.10822825224734199	0.671559385701132	0.1812837494092137
00SEAY5240	0.0	0.0	0.0	0.0	1.0
node_34	0.9998736586842549	1.9013145805541902e-06	6.1407427516702115e-06	2.9117831593998425e-05	8.918142681888656e-05
node_35	2.1403762330385445e-09	6.732060805940529e-10	0.999999977957665	8.678425296438992e-09	1.0550327456158741e-08
node_36	2.2260343159937557e-09	5.486497647385358e-10	0.9999999813384521	7.288536099486409e-09	8.598327635343759e-09
99UGAF4478	1.0	0.0	0.0	0.0	0.0
node_37	0.9999985840030509	3.494499366026896e-08	9.977638069415954e-08	4.504823388045545e-07	8.307932358906944e-07
node_38	0.1835895815062882	0.0009931411348892648	0.0028356572461316247	0.7968524739779451	0.01572914613474575
node_39	0.9867532394025836	7.540160858967661e-05	0.00021528980208353587	0.009177926640663903	0.0037781425460791775
97CMAJ6930	1.0	0.0	0.0	0.0	0.0
92UGAB8332	1.0	0.0	0.0	0.0	0.0
node_40	0.9999673096616772	7.228831725426472e-08	2.0640056149532837e-07	9.318826886501933e-07	3.1479766755228335e-05
node_41	0.9999986620996683	1.1450786409223199e-08	3.269472130827349e-08	1.8557928810273526e-07	1.1081755358831656e-06
node_42	0.00636730176679506	0.00010737691357651252	0.0027460018350081196	0.2873992172465195	0.7033801022381009
node_43	0.0003570331638877731	2.552429401817838e-05	0.0001870453541371279	0.013714860452047726	0.9857155367359093
02GRAY0270	0.0	0.0	0.0	1.0	0.0
97YUAF9960	0.0	0.0	1.0	0.0	0.0
98CMAJ6932	1.0	0.0	0.0	0.0	0.0
node_44	0.9999559894450019	1.0623985911160203e-06	3.1387109953428115e-06	1.4377029404361598e-05	2.5432416007371143e-05
00CZAY4362	0.0	0.0	1.0	0.0	0.0
node_45	2.1403762330385445e-09	6.732060805940529e-10	0.999999977957665	8.678425296438992e-09	1.0550327456158741e-08
00UAAF3968	0.0	0.0	1.0	0.0	0.0
node_46	2.2260343159937557e-09	5.486497647385358e-10	0.9999999813384521	7.288536099486409e-09	8.598327635343759e-09
00KEAF7083	1.0	0.0	0.0	0.0	0.0
node_47	0.9999874486939165	1.545744077232063e-07	4.413471736444869e-07	1.9926471122905243e-06	9.962737389676428e-06
02GRAY0300	0.0	0.0	0.0	1.0	0.0
02GRAY0299	0.0	0.0	0.0	1.0	0.0
node_48	0.327456541759151	0.00279771305192378	0.007988144778664958	0.3565103744817737	0.3052472259284865
node_49	0.9995774026577245	2.4935831755658745e-06	7.119781651884564e-06	0.00020806885254516476	0.0002049151249028106
node_50	0.9834699546823152	2.3628330258834367e-05	6.7464575224026e-05	0.0003045971504472303	0.016134355261754624
node_51	0.9999977304777786	1.6166547951840866e-08	4.6159389115229705e-08	2.084059493950348e-07	1.9987903347647082e-06
node_52	0.9998484982795118	8.74352650954776e-08	2.496487444535313e-07	1.1289517062566985e-06	0.000150035684772356
node_53	0.9999538388241744	1.4823673996421663e-08	4.2286115759692044e-08	4.563994637122596e-05	4.64119664609127e-07
03ESAY2111	0.0	0.0	0.0	0.0	1.0
00GRAF5753	0.0	0.0	0.0	1.0	0.0
98FRAJ0552	0.0	0.0	0.0	0.0	1.0
97FRAJ0558	0.0	0.0	0.0	0.0	1.0
98CMAJ6933	1.0	0.0	0.0	0.0	0.0
96CMAJ6134	1.0	0.0	0.0	0.0	0.0
00CZAY4336	0.0	0.0	1.0	0.0	0.0
00CZAY4296	0.0	0.0	1.0	0.0	0.0
97BYAF3275	0.0	0.0	1.0	0.0	0.0
node_54	2.9017514401059896e-07	1.0075563298744088e-07	0.999983517314396	1.4512737324523618e-05	1.5790175023435411e-06
00KEAF7079	1.0	0.0	0.0	0.0	0.0
node_55	0.9991288112763179	8.417337372735157e-06	2.4033526032465208e-05	0.00010850944380747777	0.0007302284164694202
99ESAY7468	0.0	0.0	0.0	0.0	1.0
02GRAY0303	0.0	0.0	0.0	1.0	0.0
node_56	0.9999827990164553	2.8536635590970797e-07	8.147897163047726e-07	7.770997278254332e-06	8.329830193988946e-06
node_57	0.9983171062955118	2.5828389864067632e-05	7.3746276207531e-05	0.0004790687228002999	0.0011042503156162696
98UGAF4507	1.0	0.0	0.0	0.0	0.0
node_58	0.1765840164175948	0.00021893400998788023	0.0006251093422192477	0.002822318579259943	0.8197496216509381
95SEAF7771	0.0	0.0	0.0	0.0	1.0
node_59	0.9999977304777786	1.6166547951840866e-08	4.6159389115229705e-08	2.084059493950348e-07	1.9987903347647082e-06
node_60	0.36557809947542574	0.0009054726168142144	0.0025853424597001556	0.011672614653089743	0.6192584707949702
node_61	0.9998484982795118	8.74352650954776e-08	2.496487444535313e-07	1.1289517062566985e-06	0.000150035684772356
node_62	0.9999538388241744	1.4823673996421663e-08	4.2286115759692044e-08	4.563994637122596e-05	4.64119664609127e-07
node_63	0.9316369218653592	1.5943659512872072e-05	4.534750758349223e-05	0.06701906277388732	0.0012827241936571013
02SIAJ1139	0.0	0.0	1.0	0.0	0.0
node_64	1.1594176488586062e-05	4.025797155962831e-06	0.9990113465863794	0.0009099421369749805	6.30913030010325e-05
95SEAF9673	0.0	0.0	0.0	0.0	1.0
node_65	0.9996809502554267	6.001844531009827e-06	1.713671204905856e-05	7.737088143672638e-05	0.00021854030655660115
96SNAY1630	1.0	0.0	0.0	0.0	0.0
01SNAY1629	1.0	0.0	0.0	0.0	0.0
01SNAY1631	1.0	0.0	0.0	0.0	0.0
99DEAF7536	0.0	0.0	0.0	0.0	1.0
94SEAF9670	0.0	0.0	0.0	0.0	1.0
node_66	0.07828231626010664	0.0002442475910322765	0.0006973857144317796	0.0031486406069880586	0.9176274098274413
node_67	0.9999993417414803	2.0188171792564275e-08	5.764209402896969e-08	2.6024943468786416e-07	3.201788192121592e-07
node_68	0.9999948746466613	1.5664095183401129e-07	4.47247654080812e-07	2.019287312596622e-06	2.502177420174245e-06
94SEAF9671	0.0	0.0	0.0	0.0	1.0
99BEAF8999	0.0	0.0	0.0	0.0	1.0
node_69	0.999997872876372	1.8307624775852143e-08	5.2272679235014586e-08	2.3602560446360031e-07	1.820517719637509e-06
node_70	0.9849776991275321	8.191177117018833e-05	0.0002338778401712808	0.00105594077441794	0.013650570486708419
01TZAY3305	1.0	0.0	0.0	0.0	0.0
node_71	0.9999018518362793	5.801352747499543e-07	1.656412456828871e-06	8.673964779102563e-05	9.171968198077495e-06
00KEAF7086	1.0	0.0	0.0	0.0	0.0
node_72	0.9316369218653592	1.5943659512872072e-05	4.534750758349223e-05	0.06701906277388732	0.0012827241936571013
03RUAY0393	0.0	0.0	1.0	0.0	0.0
02GRAY0302	0.0	0.0	0.0	1.0	0.0
98UGAF4508	1.0	0.0	0.0	0.0	0.0
98UGAF4509	1.0	0.0	0.0	0.0	0.0
00ITAY0121	0.0	0.0	0.0	0.0	1.0
node_73	8.600479093287933e-05	1.700775718160078e-06	4.856124411644625e-06	2.192501251249448e-05	0.9998855132964247
node_74	0.9999484038850303	1.5915682426660944e-06	4.544310759781033e-06	2.0517198865373994e-05	2.494303710184808e-05
node_75	0.9999993417414803	2.0188171792564275e-08	5.764209402896969e-08	2.6024943468786416e-07	3.201788192121592e-07
99KEAF7063	1.0	0.0	0.0	0.0	0.0
00KEAF7055	1.0	0.0	0.0	0.0	0.0
node_76	0.9999806828566996	5.911122271261311e-07	1.687767814130992e-06	7.620138287341614e-06	9.418124971981957e-06
node_77	0.9999937437427683	1.919674645173481e-07	5.481133583516371e-07	2.4746882960156744e-06	3.0414881129888776e-06
01TZAY3314	1.0	0.0	0.0	0.0	0.0
00SEAY5249	0.0	0.0	0.0	0.0	1.0
01TZAY3306	1.0	0.0	0.0	0.0	0.0
node_78	0.9973953754148742	2.182029920393261e-05	6.230219900084113e-05	0.0021784685652271813	0.0003420335216937494
node_79	0.6992763193357152	0.0011395639668559028	0.003253598556722442	0.17918914473976866	0.1171413734009378
node_80	0.0007041895666665373	6.495258908588468e-06	3.019671959522318e-06	0.9992689431386143	1.7352363851071843e-05
98ITAF5286	0.0	0.0	0.0	0.0	1.0
98ITAF5285	0.0	0.0	0.0	0.0	1.0
92UGU51190	1.0	0.0	0.0	0.0	0.0
99UGAF4493	1.0	0.0	0.0	0.0	0.0
00KEAF7089	1.0	0.0	0.0	0.0	0.0
91UGAF7368	1.0	0.0	0.0	0.0	0.0
00KEAF7068	1.0	0.0	0.0	0.0	0.0
97TZAF1872	1.0	0.0	0.0	0.0	0.0
00KEAF7084	1.0	0.0	0.0	0.0	0.0
node_81	0.9999996540766267	1.0668768370202299e-08	3.046190392509137e-08	1.375334001585153e-07	1.6725930077842228e-07
99KEAF7065	1.0	0.0	0.0	0.0	0.0
02GRAY0287	0.0	0.0	0.0	1.0	0.0
95SEAF9669	0.0	0.0	0.0	0.0	1.0
02GRAY0290	0.0	0.0	0.0	1.0	0.0
node_82	0.0007041895666665373	6.495258908588468e-06	3.019671959522318e-06	0.9992689431386143	1.7352363851071843e-05
node_83	1.1383040500000349e-05	4.4112954648200105e-05	3.8304071856033546e-07	0.9999420063391732	2.1146249599889076e-06
node_84	0.9999857120554463	4.407382972344056e-07	1.2584140174943615e-06	5.6816384956097065e-06	6.907153743399883e-06
node_85	0.9999993222571065	2.090394234040434e-08	5.968579138033932e-08	2.6955116402534314e-07	3.2760199569284916e-07
02GRAY0283	0.0	0.0	0.0	1.0	0.0
node_86	0.0002920287336254679	6.400288293735749e-06	1.2077550073966702e-05	0.9996228920048913	6.66014231156303e-05
node_87	6.088341501133883e-06	6.156480214468619e-06	4.938669734194742e-06	0.9999557080692845	2.7108439265787524e-05
node_88	1.1383040500000349e-05	4.4112954648200105e-05	3.8304071856033546e-07	0.9999420063391732	2.1146249599889076e-06
00KEAF7070	1.0	0.0	0.0	0.0	0.0
00KEAF7053	1.0	0.0	0.0	0.0	0.0
node_89	0.9999989933070084	2.8804144703068717e-08	8.224277237473527e-08	4.4423460163964923e-07	4.514114730264195e-07
node_90	0.9999757162788498	7.490764487594319e-07	2.138793722281004e-06	9.65650889034024e-06	1.1739342088715127e-05
02GRAY0291	0.0	0.0	0.0	1.0	0.0
00GRAY6884	0.0	0.0	0.0	1.0	0.0
02GRAY0295	0.0	0.0	0.0	1.0	0.0
node_91	4.347578000226445e-06	2.38480537041539e-06	4.072655016700247e-06	0.999966840838371	2.2354123241594877e-05
node_92	4.04792726491191e-07	6.3979158156176e-07	2.657903600604381e-07	0.9999972306120882	1.459013243841686e-06
node_93	1.6179329724563036e-18	0.9999999999999999	1.6020350927928274e-18	1.9115965410205565e-16	8.79320071001083e-18
node_94	0.9999909657779052	1.015604514529614e-07	2.8997955597103326e-07	7.051051667859367e-06	1.5916304193781118e-06
node_95	0.9999829640983972	5.252900379442061e-07	1.4998296067009706e-06	6.778565663279595e-06	8.232216294989078e-06
00KEAF7077	1.0	0.0	0.0	0.0	0.0
93RWAY3406	1.0	0.0	0.0	0.0	0.0
node_96	6.484633561118246e-05	2.256189646398609e-05	6.427715424211776e-05	0.999495512232033	0.00035280238164971106
node_97	3.987838898322751e-05	1.4330586221930628e-05	3.940463882153624e-05	0.9996901033303286	0.0002162830556447087
node_98	4.04792726491191e-07	6.3979158156176e-07	2.657903600604381e-07	0.9999972306120882	1.459013243841686e-06
node_99	8.229582235298335e-10	3.089045164263876e-10	8.098576758090475e-10	0.9999999936131522	4.445127403724459e-09
node_100	0.0	1.0	0.0	0.0	0.0
node_101	1.6179329724563036e-18	0.9999999999999999	1.6020350927928274e-18	1.9115965410205565e-16	8.79320071001083e-18
node_102	0.9949218613361142	4.276408038844569e-05	0.0001221017518644504	0.004243084680362032	0.000670188151270844
node_103	0.9999872769298437	2.1961135505167715e-07	6.270433255564792e-07	8.43472032638331e-06	3.44169514937107e-06
98UGAF4512	1.0	0.0	0.0	0.0	0.0
node_104	0.9998395840333726	4.948308391637892e-06	1.4128612562139743e-05	6.379037345184829e-05	7.754867222179549e-05
02GRAY0282	0.0	0.0	0.0	1.0	0.0
02GRAY0281	0.0	0.0	0.0	1.0	0.0
02GRAY0294	0.0	0.0	0.0	1.0	0.0
02GRAY0272	0.0	0.0	0.0	1.0	0.0
02GRAY0297	0.0	0.0	0.0	1.0	0.0
node_105	1.3509579929454718e-05	4.696855743237756e-06	1.3391955015063348e-05	0.9998948962774206	7.35053318916183e-05
02GRAY0275	0.0	0.0	0.0	1.0	0.0
node_106	8.229582235298335e-10	3.089045164263876e-10	8.098576758090475e-10	0.9999999936131522	4.445127403724459e-09
node_107	5.206847378992106e-09	0.9999999379905962	5.162138258694293e-09	2.330664050565093e-08	2.833377771712374e-08
node_108	0.0	1.0	0.0	0.0	0.0
node_109	1.6179329724563036e-18	0.9999999999999999	1.6020350927928274e-18	1.9115965410205565e-16	8.79320071001083e-18
node_110	1.6179329724563036e-18	0.9999999999999999	1.6020350927928274e-18	1.9115965410205565e-16	8.79320071001083e-18
00KEAF7067	1.0	0.0	0.0	0.0	0.0
02GRAY0301	0.0	0.0	0.0	1.0	0.0
99KEAF7075	1.0	0.0	0.0	0.0	0.0
node_111	0.9996088708783799	3.4933841910727536e-06	9.974453461667494e-06	0.0003229138260207001	5.474745794665565e-05
00KEAF7066	1.0	0.0	0.0	0.0	0.0
00KEAF7052	1.0	0.0	0.0	0.0	0.0
02GRAY0274	0.0	0.0	0.0	1.0	0.0
02GRAY0273	0.0	0.0	0.0	1.0	0.0
node_112	2.0621973471975793e-07	9.204844115733688e-08	2.0444894473191557e-07	0.999998375110116	1.122172763417298e-06
node_113	8.229582235298301e-10	3.089045164263863e-10	8.098576758090442e-10	0.9999999936131522	4.445127403724441e-09
01ALAY1690	0.0	1.0	0.0	0.0	0.0
node_114	5.626020038953737e-09	0.9999999329985837	5.577711650324112e-09	2.5182921061701006e-08	3.0614763524460256e-08
01ALAY1656	0.0	1.0	0.0	0.0	0.0
02ALAY1658	0.0	1.0	0.0	0.0	0.0
node_115	1.8654761159203543e-14	0.9999999999997778	1.849458017057713e-14	8.350154717857635e-14	1.0151245419319753e-13
node_116	1.6179329724563036e-18	0.9999999999999999	1.6020350927928274e-18	1.9115965410205565e-16	8.79320071001083e-18
node_117	8.999469958738242e-09	0.999999892823483	8.922195102051416e-09	4.0282995794605194e-08	4.897185625444251e-08
node_118	2.1908935883265294e-09	0.9999999739082032	2.172081259508249e-09	9.806772800113435e-09	1.1922049450493335e-08
00KEAF7080	1.0	0.0	0.0	0.0	0.0
node_119	0.9931577862546452	4.590559231655359e-05	0.00013107152524530582	0.005945815474147965	0.0007194211536450084
node_120	4.154105850823159e-06	1.4460641342631502e-06	4.118436190530767e-06	0.9999676762543033	2.2605139521047477e-05
node_121	1.473198722285571e-06	2.1409591726871136e-06	1.4605489471518595e-06	0.9999869086792782	8.016613879706526e-06
node_122	4.214950410932671e-05	1.4635397470962986e-05	4.178758291434135e-05	0.9996720651803068	0.00022936233519859524
node_123	6.059083451128769e-07	2.1038780096292228e-07	6.007054507448074e-07	0.9999952858657302	3.2971326731446148e-06
00ALAY1713	0.0	1.0	0.0	0.0	0.0
01ALAY1691	0.0	1.0	0.0	0.0	0.0
03ALAY1707	0.0	1.0	0.0	0.0	0.0
node_124	1.8654761159203543e-14	0.9999999999997778	1.849458017057713e-14	8.350154717857635e-14	1.0151245419319753e-13
node_125	0.0	1.0	0.0	0.0	0.0
node_126	3.449911265837761e-09	0.9999999589143054	3.420288254719073e-09	1.5442327343026058e-08	1.8773167683852698e-08
01ALAY1689	0.0	1.0	0.0	0.0	0.0
03ALAY1703	0.0	1.0	0.0	0.0	0.0
03ALAY1706	0.0	1.0	0.0	0.0	0.0
node_127	2.2195070504770477e-09	0.9999999735674394	2.2004490292794237e-09	9.934851006760559e-09	1.2077753548823763e-08
00KEAF7069	1.0	0.0	0.0	0.0	0.0
02GRAY0314	0.0	0.0	0.0	1.0	0.0
02GRAY0298	0.0	0.0	0.0	1.0	0.0
