node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
EU482687	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EU482634.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
EU482634.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
HQ332186.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
HQ332186	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JX286520	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JX286525_JX286525.1	1.102614943607114e-11	1.817032634997131e-11	1.1095719650873354e-11	3.1100471918240986e-11	1.041030414461234e-11	0.9999999998845345	2.1753235738554148e-11	1.1909356907612452e-11
KC294211_KC294211.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JX669478	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JX669478.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EU569719.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EU569719	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EU677143_EU677143.1	3.104483735639739e-10	0.9999999962541477	3.124071679879991e-10	8.756539152738238e-10	2.9310885080411006e-10	1.0064418322026672e-09	6.124764310462839e-10	3.353156515425001e-10
EU482551_EU677146	1.2484425499307157e-12	0.9999999999849363	1.2563196802807518e-12	3.52137005677046e-12	1.1787130881191042e-12	4.0473228863385134e-12	2.463023492665577e-12	1.3484442589844425e-12
GQ398286_GQ398286.1	6.441320181306355e-12	0.9999999999222794	6.481962114487247e-12	1.8168454778942172e-11	6.081552092960047e-12	2.0882100333317017e-11	1.2707931919829956e-11	6.9572774648262445e-12
GQ398291	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
