name,location14
A_Human_HONG_KONG_3056_2006,south_east_asia
A_Human_HONG_KONG_3069_2006,south_east_asia
A_Human_Hong_Kong_1550_2002,south_east_asia
A_Human_Hong_Kong_121715_2002,south_east_asia
A_Human_Hong_Kong_568_2002,south_east_asia
A_Human_Hong_Kong_1143_2002,south_east_asia
A_Human_Hong_Kong_1510_2002,south_east_asia
A_Human_Hong_Kong_1554_2002,south_east_asia
A_Human_WUHAN_359_1995,china
A_Human_WUHAN_211_2003,china
A_Human_WUHAN_214_2003,china
A_Human_HUBEI_276_2004,china
A_Human_HUBEI_412_2004,china
A_Human_WUHAN_68_2004,china
A_Human_WUHAN_101_2004,china
A_Human_WUHAN_269_2004,china
A_Human_WUHAN_271_2004,china
A_Human_WUHAN_158_2005,china
A_Human_WUHAN_283_2005,china
A_Human_WUHAN_295_2005,china
A_Human_Wuhan_12_2002,china
A_Human_Wuhan_16_2002,china
A_Human_HUBEIWUCHANG_1258_2006,china
A_Human_HUBEIWUJIAGANG_1121_2006,china
A_Human_HUNAN_167_2003,china
A_Human_HUNAN_245_2003,china
A_Human_HUNAN_200_2004,china
A_Human_HUNAN_204_2004,china
A_Human_HUNAN_L170_1_2004,china
A_Human_HUNAN_L199_1_2004,china
A_Human_HUNAN_L200_3_2004,china
A_Human_HUNAN_LY_93_2004,china
A_Human_HUNAN_LY95_2004,china
A_Human_HUNAN_L0731_2005,china
A_Human_Hunan_407_2002,china
A_Human_JIANGSU_DY3_2004,china
A_Human_JIANGSU_FU137_2004,china
A_Human_JIANGSU_FU81_2004,china
A_Human_JIANGXI_169_2005,china
A_Human_JIANGXI_198_2005,china
A_Human_JIANGXI_206_2005,china
A_Human_JIANGXIDONGHU_312_2006,china
A_Human_JIANGXIDONGHU_1435_2006,china
A_Human_JILIN_14_2003,china
A_Human_JILIN_16_2003,china
A_Human_JILIN_17_2003,china
A_Human_JILIN_18_2003,china
A_Human_JILINCHAOYANG_1178_2006,china
A_Human_JILINNANGUAN_1165_2006,china
A_Human_MACAU_76_2004,south_east_asia
A_Human_MACAU_103_2004,south_east_asia
A_Human_MACAU_214_2004,south_east_asia
A_Human_MACAU_304_2004,south_east_asia
A_Human_MACAU_482_2005,south_east_asia
A_Human_MACAU_561_2005,south_east_asia
A_Human_MACAU_747_2005,south_east_asia
A_Human_SHAANXI_90_2005,china
A_Human_SHANGHAI_369_2003,china
A_Human_SICHUAN_1017_2004,china
A_Human_SICHUAN_1025_2004,china
A_Human_CHONGQING_560_2005,china
A_Human_CHONGQING_618_2005,china
A_Human_CHONGQING_628_2005,china
A_Human_CHONGQING_650_2005,china
A_Human_CHONGQING_652_2005,china
A_Human_CHONGQING_1096_2005,china
A_Human_CHONGQING_1167_2005,china
A_Human_TIANJIN_143_2003,china
A_Human_TIANJIN_199_2003,china
A_Human_TIANJIN_32_2004,china
A_Human_TIANJIN_263_2004,china
A_Human_TIANJIN_273_2004,china
A_Human_TIANJIN_275_2005,china
A_Human_TIANJIN_446_2005,china
A_Human_TIANJIN_451_2005,china
A_Human_TIANJIN_454_2005,china
A_Human_TIANJIN_459_2005,china
A_Human_Tianjin_5_2002,china
A_Human_YUNNAN_713_2004,china
A_Human_YUNNAN_161_2005,china
A_Human_YUNNAN_395_2005,china
A_Human_YUNNANANNING_199_2006,china
A_Human_NINGBO_982_2004,china
A_Human_NINGBO_997_2004,china
A_Human_NINGBO_1005_2004,china
A_Human_NINGBO_1018_2004,china
A_Human_NINGBO_1042_2004,china
A_Human_NINGBO_1043_2004,china
A_Human_NINGBO_1046_2004,china
A_Human_NINGBO_1049_2004,china
A_Human_NINGBO_1114_2004,china
A_Human_NINGBO_1119_2004,china
A_Human_ZHEJIANG_7_2004,china
A_Human_NINGBO_551_2005,china
A_Human_ZHEJIANG_199_2005,china
A_Human_ZHEJIANG_8_2002,china
A_Human_ZAGREB_4274_2006,europe
A_Human_PRAGUE_34_2003,europe
A_Human_DENMARK_9_2003,europe
A_Human_DENMARK_40_2003,europe
A_Human_ECUADOR_1968_2004,south_america
A_Human_Egypt_EG_2002923226_2003,south_west_asia
A_Human_Egypt_EG_2003900525_2003,south_west_asia
A_Human_Egypt_EG_2003901386_2003,south_west_asia
A_Human_Egypt_EG_2003917221_2003,south_west_asia
A_Human_Egypt_EG_2005904864_2005,south_west_asia
A_Human_FINLAND_170_2003,europe
A_Human_FINLAND_618_2005,europe
A_Human_FINLAND_487_2004,europe
A_Human_LIMOGES_2402_2003,europe
A_Human_LYON_21_2004,europe
A_Human_LYON_108_2005,europe
A_Human_LYON_1375_2005,europe
A_Human_LYON_636_2006,europe
A_Human_LYON_19989_2002,europe
A_Human_LYON_1324_2006,europe
A_Human_LYON_1331_2006,europe
A_Human_LYON_1359_2006,europe
A_Human_LYON_52_339_2006,europe
A_Human_LYON_52_58_2006,europe
A_Human_LYON_1292_2006,europe
A_Human_LYON_1313_2006,europe
A_Human_MARSEILLE_1215_2006,europe
A_Human_NICE_938_2004,europe
A_Human_Pennsylvania_PA_5V00335_2005,europe
A_Human_Pennsylvania_PA_6V_355_2006,europe
A_Human_Pennsylvania_PA_S_45670_2005,europe
A_Human_PARIS_207_2002,europe
A_Human_POITIERS_719_2004,europe
A_Human_TOULON_1244_2006,europe
A_Human_GUYANE_28_2006,europe
A_Human_Egypt_FG_00220012_2004,europe
A_Human_GYEONGGI_743_2006,europe
A_Human_Baden_Wurttemberg_38_2005,europe
A_Human_BAYERN_1_2003,europe
A_Human_BERLIN_35_2003,europe
A_Human_BERLIN_4_2005,europe
A_Human_HANNOVER_154_2003,europe
A_Human_Germany_GE_838_2003,europe
A_Human_THURINGEN_36_2003,europe
A_Human_GREECE_109_2003,europe
A_Human_Guyane_GQ_RSP_03_3715_2003,south_east_asia
A_Human_Guam_228_2002,south_east_asia
A_Human_ICELAND_22_2003,europe
A_Human_ICELAND_6_2005,europe
A_Human_India_II_031741_TS_2003,south_west_asia
A_Human_India_II_057068_2005,south_west_asia
A_Human_India_II_511132_2005,south_west_asia
A_Human_India_II_0634983_2006,south_west_asia
A_Human_India_25502_2002,south_west_asia
A_Human_IRELAND_1215_2003,europe
A_Human_IRELAND_9742_2003,europe
A_Human_IRELAND_10108_2003,europe
A_Human_Italy_IT_RSP_03_1997_2003,europe
A_Human_PARMA_7_2003,europe
A_Human_TRIESTE_2_2003,europe
A_Human_TRIESTE_55_2005,europe
A_Human_Jamaica_JM_5524_03_2003,usa
A_Human_AICHI_181_2004,japan
A_Human_AICHI_183_2004,japan
A_Human_AICHI_11_2005,japan
A_Human_AICHI_113_2005,japan
A_Human_AICHI_15_2006,japan
A_Human_AICHI_105_2006,japan
A_Human_AICHI_200_2006,japan
A_Human_AKITA_2_2004,japan
A_Human_AKITA_29_2005,japan
A_Human_AKITA_30_2005,japan
A_Human_AKITA_33_2005,japan
A_Human_AKITA_1_2006,japan
A_Human_AKITA_12_2006,japan
A_Human_AKITA_17_2006,japan
A_Human_AOMORI_43_2004,japan
A_Human_AOMORI_1_2005,japan
A_Human_AOMORI_12_2005,japan
A_Human_AOMORI_3_2006,japan
A_Human_AOMORI_16_2004,japan
A_Human_CHIBA_113_2003,japan
A_Human_CHITA_6_2003,japan
A_Human_CHIBA_110_2004,japan
A_Human_CHIBA_125_2004,japan
A_Human_CHIBA_135_2004,japan
A_Human_CHIBA_143_2004,japan
A_Human_CHIBA_8_2005,japan
A_Human_CHIBA_32_2005,japan
A_Human_CHIBA_3_2006,japan
A_Human_CHIBA_12_2006,japan
A_Human_CHIBA_15_2006,japan
A_Human_CHIBA_19_2006,japan
A_Human_CHIBA_30_2006,japan
A_Human_CHIBA_78_2006,japan
A_Human_CHIBA_85_2006,japan
A_Human_CHIBA_134_2006,japan
A_Human_CHIBA_146_2006,japan
A_Human_CHIBA_149_2006,japan
A_Human_EHIME_4_2004,japan
A_Human_EHIME_33_2004,japan
A_Human_EHIME_32_2005,japan
A_Human_EHIME_55_2005,japan
A_Human_EHIME_15_2006,japan
A_Human_EHIME_56_2006,japan
A_Human_FUKUI_44_2004,japan
A_Human_FUKUI_37_2005,japan
A_Human_FUKUI_26_2006,japan
A_Human_FUKUI_82_2006,japan
A_Human_FUKUI_86_2006,japan
A_Human_FUKUOKA_15_2002,japan
A_Human_FUKUOKA_7_2004,japan
A_Human_FUKUOKA_4_2005,japan
A_Human_FUKUOKA_10_2005,japan
A_Human_FUKUOKA_16_2005,japan
A_Human_FUKUOKA_28_2006,japan
A_Human_FUKUOKA_31_2006,japan
A_Human_FUKUSHIMA_173_2003,japan
A_Human_FUKUSHIMA_6_2004,japan
A_Human_FUKUSHIMA_147_2004,japan
A_Human_FUKUSHIMA_9_2006,japan
A_Human_FUKUSHIMA_20_2006,japan
A_Human_FUKUSHIMA_62_2006,japan
A_Human_FUKUSHIMA_93_2006,japan
A_Human_FUKUSHIMA_117_2006,japan
A_Human_FUKUSHIMA_169_2006,japan
A_Human_FUKUSHIMA_172_2006,japan
A_Human_GIFU_19_2004,japan
A_Human_GIFU_3_2005,japan
A_Human_GUNMA_508_2004,japan
A_Human_GUNMA_1489_2004,japan
A_Human_GUNMA_16_2005,japan
A_Human_GUNMA_59_2005,japan
A_Human_GUNMA_18_2006,japan
A_Human_GUNMA_25_2006,japan
A_Human_GUNMA_57_2006,japan
A_Human_GUNMA_58_2006,japan
A_Human_GUNMA_63_2006,japan
A_Human_GUNMA_72_2006,japan
A_Human_HIROSHIMA_5_2004,japan
A_Human_HIROSHIMA_14_2004,japan
A_Human_HIROSHIMA_19_2004,japan
A_Human_HIROSHIMA_39_2004,japan
A_Human_HIROSHIMA_8_2005,japan
A_Human_HIROSHIMA_9_2005,japan
A_Human_HIROSHIMA_25_2005,japan
A_Human_HIROSHIMA_26_2005,japan
A_Human_HIROSHIMA_29_2005,japan
A_Human_HIROSHIMA_52_2005,japan
A_Human_HIROSHIMA_53_2005,japan
A_Human_HIROSHIMA_54_2005,japan
A_Human_HIROSHIMA_64_2005,japan
A_Human_HIROSHIMA_46_2006,japan
A_Human_HIROSHIMA_116_2006,japan
A_Human_HIROSHIMA_136_2006,japan
A_Human_HIROSHIMA_138_2006,japan
A_Human_HOKKAIDO_105_2006,japan
A_Human_HIROSHIMA_149_2006,japan
A_Human_HIROSHIMA_150_2006,japan
A_Human_HOKKAIDO_15_2004,japan
A_Human_HOKKAIDO_34_2004,japan
A_Human_HOKKAIDO_11_2005,japan
A_Human_HOKKAIDO_42_2005,japan
A_Human_HOKKAIDO_79_2005,japan
A_Human_HOKKAIDO_85_2005,japan
A_Human_HOKKAIDO_3_2006,japan
A_Human_HOKKAIDO_22_2006,japan
A_Human_HOKKAIDO_45_2006,japan
A_Human_HOKKAIDO_50_2006,japan
A_Human_HYOGO_113_2003,japan
A_Human_HYOGO_4_2005,japan
A_Human_HYOGO_7_2005,japan
A_Human_HYOGO_35_2005,japan
A_Human_HYOGO_36_2005,japan
A_Human_HYOGO_39_2005,japan
A_Human_HYOGO_27_2006,japan
A_Human_ISHIKAWA_102_2002,japan
A_Human_ISHIKAWA_58_2004,japan
A_Human_ISHIKAWA_77_2005,japan
A_Human_ISHIKAWA_1_2006,japan
A_Human_ISHIKAWA_14_2006,japan
A_Human_ISHIKAWA_25_2006,japan
A_Human_ISHIKAWA_101_2006,japan
A_Human_IWATE_3_2004,japan
A_Human_IWATE_25_2005,japan
A_Human_IWATE_72_2005,japan
A_Human_IWATE_12_2006,japan
A_Human_IWATE_30_2006,japan
A_Human_IWATE_40_2006,japan
A_Human_KAGAWA_15_2005,japan
A_Human_KAGAWA_75_2006,japan
A_Human_KAGOSHIMA_27_2004,japan
A_Human_KAGOSHIMA_37_2005,japan
A_Human_KANAGAWA_88_2003,japan
A_Human_KANAGAWA_6_2005,japan
A_Human_KANAGAWA_31_2005,japan
A_Human_KANAGAWA_75_2005,japan
A_Human_KANAGAWA_12_2006,japan
A_Human_KANAGAWA_37_2006,japan
A_Human_KANAGAWA_50_2006,japan
A_Human_KAWASAKI_262_2004,japan
A_Human_KAWASAKI_502_2005,japan
A_Human_KAWASAKI_7_2006,japan
A_Human_KAWASAKI_649_2006,japan
A_Human_KITAKYUSHU_2_2004,japan
A_Human_KITAKYUSHU_2_2005,japan
A_Human_KITAKYUSHU_5_2006,japan
A_Human_KITAKYUSHU_6_2006,japan
A_Human_KOBE_3_2004,japan
A_Human_KOBE_186_2004,japan
A_Human_KOBE_187_2004,japan
A_Human_KOBE_189_2004,japan
A_Human_KOBE_14_2005,japan
A_Human_KOBE_73_2005,japan
A_Human_KOBE_74_2005,japan
A_Human_KOBE_1_2006,japan
A_Human_KOBE_10_2006,japan
A_Human_KOCHI_43_2004,japan
A_Human_KOCHI_5_2006,japan
A_Human_KOCHI_8_2006,japan
A_Human_KOCHI_36_2006,japan
A_Human_KOCHI_38_2006,japan
A_Human_KOCHI_41_2006,japan
A_Human_KUMAMOTO_102_2002,japan
A_Human_KUMAMOTO_2_2004,japan
A_Human_KUMAMOTO_36_2004,japan
A_Human_KUMAMOTO_1_2006,japan
A_Human_KUMAMOTO_4_2006,japan
A_Human_KUMAMOTO_8_2006,japan
A_Human_KUMAMOTO_39_2006,japan
A_Human_KYOTO_3_2005,japan
A_Human_KYOTO_9_2005,japan
A_Human_KYOTO_19_2005,japan
A_Human_KYOTO_10_2006,japan
A_Human_MIE_20_2004,japan
A_Human_MIE_1_2005,japan
A_Human_MIE_10_2005,japan
A_Human_MIE_25_2005,japan
A_Human_MIE_29_2005,japan
A_Human_MIYAGI_73_2005,japan
A_Human_MIYAGI_123_2005,japan
A_Human_MIYAGI_41_2006,japan
A_Human_MIYAZAKI_39_2005,japan
A_Human_NAGANO_1023_2004,japan
A_Human_NAGANO_1248_2005,japan
A_Human_NAGANO_1005_2006,japan
A_Human_NAGANO_1058_2006,japan
A_Human_NAGANO_1138_2006,japan
A_Human_NAGANO_1150_2006,japan
A_Human_NAGANO_1315_2006,japan
A_Human_NAGASAKI_59_2004,japan
A_Human_NAGASAKI_36_2005,japan
A_Human_NAGOYA_1_2004,japan
A_Human_NAGOYA_49_2004,japan
A_Human_NAGOYA_12_2005,japan
A_Human_NAGOYA_13_2005,japan
A_Human_NAGOYA_6_2006,japan
A_Human_NAGOYA_9_2006,japan
A_Human_NAGOYA_11_2006,japan
A_Human_NAGOYA_26_2006,japan
A_Human_NAGOYA_29_2006,japan
A_Human_NAGOYA_32_2006,japan
A_Human_NAGOYA_33_2006,japan
A_Human_NAGOYA_34_2006,japan
A_Human_NARA_64_2003,japan
A_Human_NARA_86_2004,japan
A_Human_NARA_26_2005,japan
A_Human_NARA_33_2005,japan
A_Human_NARA_6_2006,japan
A_Human_NIIGATA_2_2004,japan
A_Human_NIIGATA_95_2004,japan
A_Human_NIIGATA_234_2004,japan
A_Human_NIIGATA_528_2004,japan
A_Human_NIIGATA_1204_2004,japan
A_Human_NIIGATA_8_2005,japan
A_Human_NIIGATA_533_2005,japan
A_Human_NIIGATA_620_2005,japan
A_Human_NIIGATA_965_2005,japan
A_Human_NIIGATA_4_2006,japan
