,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
usa,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
taiwan,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
china,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
russia,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
oceania,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
south_west_asia,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
japan,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
mexico,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
south_america,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
canada,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
europe,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
south_east_asia,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
korea,38.3,72.3,84.4,36.2,63.0,49.83,58.2,92.9,66.7,62.9,71.0,63.4,65.13,89.6
