,africa,usa,taiwan,china,russia,oceania,south_west_asia,japan,mexico,south_america,canada,europe,south_east_asia,korea
africa,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
usa,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
taiwan,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
china,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
russia,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
oceania,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
south_west_asia,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
japan,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
mexico,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
south_america,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
canada,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
europe,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
south_east_asia,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
korea,2530000.0,939000.0,1460000.0,2610000.0,1610000.0,710000.0,3240000.0,2080000.0,1830000.0,1730000.0,930000.0,1110000.0,1620000.0,2530000.0
