node	Location
AY037116_JN851126	South-eastern Asia
FJ196852_JN851131.2	South-eastern Asia
FJ882602_FJ882602.1	Southern Asia
AF276619_JQ955623	Southern Asia
JQ922551	Southern Asia
JX475906.1	Southern Asia
JX475906	Southern Asia
AF489932_GQ398284.2	Caribbean
M20558	Caribbean
FJ639697_FJ639701.1	South-eastern Asia
EU482664_FM210227	South-eastern Asia
FM210222_FM210243	South-eastern Asia
AF204177_M29095.1	Oceania
KJ734727_KJ734727.1	Eastern Asia
AF022434_DQ181804	South-eastern Asia
M84727_M84728	South-eastern Asia
JQ922553.1	Southern Asia
JQ922553	Southern Asia
AF100465_JX966379	South America
GQ868592	South America
EF105385	Africa
EF105385.1	Africa
EF105388_EF105388.2	Africa
EF105387	Africa
EF105383.2_EF105383.3	Africa
EF105383.1	Africa
GQ398262_GQ398262.2	South-eastern Asia
GU131843_GU131843.2	Africa
AY858035_JN851126	South-eastern Asia
0.416736	Oceania
0.416736	South-eastern Asia
JN851131_JN851131.2	South-eastern Asia
FJ196852_FJ196852.1	Eastern Asia
FJ882602	Southern Asia
FJ882602.1	Southern Asia
AF276619_KF041236.1	Southern Asia
DQ448231_JQ955623	Southern Asia
0.999521	Caribbean
AY702039_JN819419	Caribbean
EU529701_GQ398284.2	Caribbean
0.641040	South-eastern Asia
FJ639701_FJ639701.1	South-eastern Asia
EU482664_FM210241	South-eastern Asia
FM210227	South-eastern Asia
FM210235_FM210243	South-eastern Asia
FM210222_FM210234	South-eastern Asia
AF204177	Eastern Asia
AF204178	Eastern Asia
M29095.1	Oceania
M29095	Oceania
KJ734727	Eastern Asia
KJ734727.1	Eastern Asia
0.995998	South-eastern Asia
DQ181804	South-eastern Asia
M84727_M84727.2	South-eastern Asia
M84728	South-eastern Asia
JX966379	Central America
AF100465	South America
EF105388	Africa
EF105388.2	Africa
EF105388.1	Africa
EF105383.2	Africa
EF105383.3	Africa
GQ398262.1_GQ398262.2	South-eastern Asia
GQ398262	South-eastern Asia
GU131843	Africa
GU131843.1	Africa
GU131843.2	Africa
AY858035_JN851128.2	South-eastern Asia
EU179858_JN851126	South-eastern Asia
FJ196853_FJ196853.1	Eastern Asia
AY037116	Oceania
JN851131	South-eastern Asia
JN851131.2	South-eastern Asia
JN851131.1	South-eastern Asia
FJ196852.1	Eastern Asia
FJ196852	Eastern Asia
KF041236_KF041236.1	Southern Asia
AF276619	Eastern Asia
0.507618	Southern Asia
JQ955623	Southern Asia
GQ868603_GQ868603.1	Caribbean
AF489932_GQ398282	Caribbean
EU482561_EU482576.1	Caribbean
AY702039_EU920828	Caribbean
EU920834_JN819419	South America
EU529701_EU529701.1	Caribbean
GQ398284_GQ398284.2	Caribbean
JX649148_JX649148.1	South-eastern Asia
FJ639697_FJ639697.2	South-eastern Asia
FJ639701	South-eastern Asia
FJ639701.1	South-eastern Asia
FM210221_FM210241	South-eastern Asia
EU482664_EU482664.1	South-eastern Asia
FM210235_FM210237	South-eastern Asia
FM210243	South-eastern Asia
FM210222	South-eastern Asia
FM210234	South-eastern Asia
AF022434_EU726767.2	South-eastern Asia
DQ181805_DQ181805.1	South-eastern Asia
M84727.1_M84727.2	South-eastern Asia
M84727	South-eastern Asia
GQ398262.2	South-eastern Asia
GQ398262.1	South-eastern Asia
AY858035_JX470186	South-eastern Asia
GU370051_JN851121	South-eastern Asia
JN851128_JN851128.2	South-eastern Asia
0.897128	South-eastern Asia
JN851126	South-eastern Asia
FJ196853.1	Eastern Asia
FJ196853	Eastern Asia
KF041236	Southern Asia
KF041236.1	Southern Asia
DQ448231_KJ010186	Southern Asia
JQ922549_JQ922549.1	Southern Asia
GQ868603.1	Caribbean
GQ868603	Caribbean
EU482551_GQ398282	Caribbean
AF489932_FJ898465.2	Caribbean
AF489932_FJ898465.2	South America
0.999989	Caribbean
EU482576_EU482576.1	Caribbean
0.999958	South America
AY702039_EU920849.1	Caribbean
EU482546	Caribbean
EU920834_EU920835	South America
EU920840_JN819419	South America
EU529701	Caribbean
EU529701.1	Caribbean
GQ398284.1_GQ398284.2	Caribbean
GQ398284	Caribbean
JX649148	South-eastern Asia
JX649148.1	South-eastern Asia
FJ639697	South-eastern Asia
FJ639697.1	South-eastern Asia
FJ639697.2	South-eastern Asia
FM210221_FM210221.1	South-eastern Asia
FM210241	South-eastern Asia
EU482664	South-eastern Asia
EU482664.1	South-eastern Asia
FM210235_FM210235.1	South-eastern Asia
FM210237	South-eastern Asia
AF100462_EU726767.2	South-eastern Asia
DQ181803	South-eastern Asia
AF169679_JF730047	South-eastern Asia
AF022434_EU687246.1	South-eastern Asia
DQ181805	South-eastern Asia
DQ181805.1	South-eastern Asia
M84727.2	South-eastern Asia
M84727.1	South-eastern Asia
EU482640_JX470186	South-eastern Asia
AY858035_AY858035.2	South-eastern Asia
GU370051	South-eastern Asia
JN851121	South-eastern Asia
JN851128	South-eastern Asia
JN851128.1	South-eastern Asia
JN851128.2	South-eastern Asia
