	norm_rf	norm_qt
raxml vs fast	0.09631728045325778	0.0008744366259340273
raxml vs phyml	0.11898016997167139	0.0012131420927345203
fast vs phyml	0.1048158640226629	0.0014172860466542794
mean	0.10670443814919735	0.0011682882551076088
