node	Africa	Albania	EastEurope	Greece	WestEurope
ROOT	0.9523294819524346	0.000875620297990488	0.010575559054606954	0.011287888886639083	0.024931449808328773
node_1	0.9551718219647619	8.136554853297888e-05	0.0004326248385765812	0.0010489065533071436	0.043265281094821376
node_2	0.9775395674056174	0.00022131712487035056	0.014235240303144832	0.0028531003608591263	0.005150774805508259
node_3	0.9529609467659956	0.00012384863507785957	0.0005323311253189462	0.0015965678030176388	0.044786305670589825
node_4	0.9444469472044869	9.673627511971162e-05	0.000396038840497948	0.0012470546406865607	0.05381322303920893
00CZAY4286	0.0	0.0	1.0	0.0	0.0
node_5	0.9999588763032718	3.9457992127576175e-07	2.6306143397056817e-05	5.134813629264014e-06	9.288159780558225e-06
97CDAF6238	1.0	0.0	0.0	0.0	0.0
94CYAF6237	0.0	0.0	0.0	0.0	1.0
97CDAF6240	1.0	0.0	0.0	0.0	0.0
node_6	0.11495594476800183	0.0004244128323121478	0.001226249564003214	0.0054712241860930865	0.8779221686495896
node_7	0.9999756828573271	1.892862469417509e-07	1.2135399483458874e-05	3.4826440982249258e-06	8.50981284434033e-06
node_8	0.9999974415411231	3.290099966510921e-08	7.972471966580002e-07	4.281169904964254e-07	1.300193690131381e-06
03ESAY2109	0.0	0.0	0.0	0.0	1.0
03ESAY2098	0.0	0.0	0.0	0.0	1.0
85UGM62320	1.0	0.0	0.0	0.0	0.0
node_9	0.9999022682410027	2.37240053199273e-07	4.7407070350666165e-05	1.0074517771390974e-05	4.0012930822163314e-05
node_10	0.997806744277878	1.2340106167295492e-05	3.532397013726641e-05	0.00015908025601796098	0.0019865113897996746
node_11	0.9999988093237993	2.8638554566390013e-08	9.359619124122108e-08	5.065237516408258e-07	5.619177030718908e-07
node_12	0.9999654655597241	4.934213542294602e-07	1.8514204042126907e-06	6.427281134027691e-06	2.5762317383567143e-05
node_18	0.9954641914764044	1.7159306488079117e-05	0.00014824267994575422	0.0008634529446213005	0.0035069535925406504
node_19	0.0008697240428912918	9.426447563699236e-06	0.9988515638773682	0.0001215248786557452	0.00014776075352116328
99SEAY5206	0.0	0.0	0.0	0.0	1.0
node_14	0.9999995801850621	2.951395711186176e-09	8.443233673783839e-09	3.8047356581522904e-08	3.7037295192072996e-07
node_15	0.999918551669314	3.0027636218433536e-07	8.577766593022506e-07	4.586767306898755e-05	3.44226045956452e-05
node_16	0.9999678350910214	9.917023049482386e-07	2.8322601693910796e-06	1.2792189848247609e-05	1.554875665592163e-05
00GAAJ3391	1.0	0.0	0.0	0.0	0.0
node_17	0.999916543947233	5.253624871567029e-07	1.6221264591972361e-06	6.790922780831381e-06	7.451764103983407e-05
