node	Loc	RTM184V
node_120	Central Africa	sensitive
HM120044	Central Africa	sensitive
EF602213	South Africa	sensitive
EF602209	South Africa	sensitive
AM071428	Southern Africa ex SA	sensitive
GU253405	South Africa	sensitive
HM120032	Central Africa	sensitive
node_133	Central Africa	sensitive
node_157	Central Africa	sensitive
node_158	South Africa	sensitive
node_175	Central Africa	sensitive
node_3603	Central Africa	sensitive
node_45	Central Africa	sensitive
KM050572	Central Africa	sensitive
node_49	Central Africa	sensitive
KM050003	Central Africa	sensitive
EU673407	Europe	sensitive
FJ388952	Europe	sensitive
node_71	Southern Africa ex SA	sensitive
node_98	Southern Africa ex SA	sensitive
node_107	Central Africa	sensitive
HM119667	Central Africa	sensitive
HM572407	East Africa	sensitive
node_112	Asia	sensitive
node_114	Asia	sensitive
AY787536	Asia	sensitive
GQ427132	Central Africa	sensitive
node_119	Europe	sensitive
GQ433881	Central Africa	sensitive
GQ433830	Central Africa	sensitive
node_139	Central Africa	sensitive
node_156	Central Africa	sensitive
EU244678	South Africa	sensitive
EF602182	South Africa	sensitive
node_172	Central Africa	sensitive
node_174	Central Africa	sensitive
node_232	Central Africa	sensitive
node_3602	Central Africa	sensitive
DQ878365	Europe	sensitive
HM120091	Central Africa	sensitive
HM119822	Central Africa	sensitive
node_48	Central Africa	sensitive
AF443078	Southern Africa ex SA	sensitive
DQ011167	South Africa	sensitive
AY829337	Southern Africa ex SA	sensitive
node_97	Southern Africa ex SA	sensitive
HM119815	Central Africa	sensitive
node_106	Central Africa	sensitive
EU447779	Asia	sensitive
KX069220	Asia	sensitive
HM119608	Central Africa	sensitive
HQ456682	Asia	sensitive
HM191548	Europe	sensitive
HM191547	Europe	resistant
node_137	Central Africa	sensitive
node_137	South Africa	
node_138	Central Africa	sensitive
node_150	Central Africa	sensitive
node_155	Central Africa	sensitive
node_161	Central Africa	sensitive
node_171	Central Africa	sensitive
HM119659	Central Africa	sensitive
node_173	Central Africa	sensitive
node_227	Central Africa	sensitive
node_231	Central Africa	sensitive
node_239	Central Africa	sensitive
node_3601	Central Africa	sensitive
KM050577	Central Africa	sensitive
KM050576	Central Africa	sensitive
node_96	Southern Africa ex SA	sensitive
FJ199732	South Africa	sensitive
KM049927	Central Africa	sensitive
KM049928	Central Africa	sensitive
DQ275655	South Africa	sensitive
node_136	South Africa	sensitive
GU253415	South Africa	sensitive
HM120149	Central Africa	sensitive
node_144	Central Africa	sensitive
node_149	Central Africa	sensitive
node_154	Central Africa	sensitive
DQ877803	Europe	sensitive
node_160	Central Africa	sensitive
node_160	Southern Africa ex SA	
HM119980	Central Africa	sensitive
node_162	Central Africa	sensitive
node_170	Central Africa	sensitive
KM050026	Central Africa	sensitive
KM050681	Central Africa	sensitive
node_211	Central Africa	sensitive
node_226	Central Africa	sensitive
HM119889	Central Africa	sensitive
node_230	Central Africa	sensitive
node_235	Central Africa	sensitive
node_238	Central Africa	sensitive
node_398	Central Africa	sensitive
node_3600	Central Africa	sensitive
node_93	Southern Africa ex SA	sensitive
node_95	Southern Africa ex SA	sensitive
AY589890	South Africa	sensitive
FJ199757	South Africa	sensitive
node_143	Central Africa	sensitive
HM119670	Central Africa	sensitive
node_146	Central Africa	sensitive
node_146	Southern Africa ex SA	
node_148	Central Africa	sensitive
node_152	Central Africa	sensitive
node_153	Central Africa	sensitive
AF443092	Southern Africa ex SA	sensitive
AM071429	Southern Africa ex SA	sensitive
GU906868	Europe	sensitive
HM120117	Central Africa	sensitive
node_167	Central Africa	sensitive
node_169	Central Africa	sensitive
node_185	Central Africa	sensitive
node_210	Central Africa	sensitive
node_215	Central Africa	sensitive
node_225	Central Africa	sensitive
GQ433802	Central Africa	sensitive
node_229	Central Africa	sensitive
node_233	Central Africa	sensitive
node_234	Central Africa	sensitive
node_236	Central Africa	sensitive
node_237	Central Africa	sensitive
node_397	Central Africa	sensitive
HM119835	Central Africa	sensitive
node_409	Central Africa	sensitive
node_409	South Africa	
node_3599	Central Africa	sensitive
node_88	Southern Africa ex SA	sensitive
node_92	Southern Africa ex SA	sensitive
AF443093	Southern Africa ex SA	sensitive
node_94	Southern Africa ex SA	sensitive
KC156213	Southern Africa ex SA	sensitive
node_142	Central Africa	sensitive
FJ445733	Southern Africa ex SA	sensitive
node_145	Central Africa	sensitive
node_145	Southern Africa ex SA	
FJ199692	South Africa	sensitive
node_147	Central Africa	sensitive
node_151	Central Africa	sensitive
EU244676	South Africa	sensitive
KM050526	Central Africa	sensitive
KM050527	Central Africa	sensitive
node_164	South Africa	sensitive
node_166	Central Africa	sensitive
HM119871	Central Africa	sensitive
node_168	Central Africa	sensitive
node_178	Central Africa	sensitive
node_184	Central Africa	sensitive
node_186	Central Africa	sensitive
node_209	Central Africa	sensitive
node_212	Central Africa	sensitive
node_214	Central Africa	sensitive
node_221	Central Africa	sensitive
node_224	Central Africa	sensitive
HM120123	Central Africa	sensitive
node_228	Central Africa	sensitive
AY589884	South Africa	resistant
HM119605	Central Africa	sensitive
EU251719	East Africa	sensitive
EU152451	South Africa	sensitive
AY901967	South Africa	sensitive
HM120070	Central Africa	sensitive
DQ009851	North America	sensitive
HM119679	Central Africa	sensitive
node_242	Central Africa	sensitive
node_396	Central Africa	sensitive
node_404	Central Africa	sensitive
node_404	South Africa	
node_408	South Africa	sensitive
node_413	Central Africa	sensitive
node_3598	Central Africa	sensitive
AY829294	Southern Africa ex SA	sensitive
node_87	Southern Africa ex SA	sensitive
AY829313	Southern Africa ex SA	sensitive
node_91	South Africa	sensitive
AY829279	Southern Africa ex SA	sensitive
AF443110	Southern Africa ex SA	sensitive
node_141	Central Africa	sensitive
HM119879	Central Africa	sensitive
AY756873	Southern Africa ex SA	sensitive
EU244672	South Africa	sensitive
AY756887	Southern Africa ex SA	sensitive
HM119986	Central Africa	sensitive
HM119630	Central Africa	sensitive
HM120069	Central Africa	sensitive
AY878071	South Africa	sensitive
node_163	South Africa	sensitive
HM119725	Central Africa	sensitive
node_165	Central Africa	sensitive
node_165	South Africa	
HM119896	Central Africa	sensitive
HM119872	Central Africa	sensitive
node_176	Central Africa	sensitive
node_177	Central Africa	sensitive
node_182	Central Africa	sensitive
node_183	Central Africa	sensitive
HM119856	Central Africa	sensitive
HM119850	Central Africa	sensitive
node_206	Central Africa	sensitive
node_208	Central Africa	sensitive
EU786681	Europe	sensitive
FJ445723	Southern Africa ex SA	resistant
HM120002	Central Africa	sensitive
node_213	Central Africa	sensitive
node_220	Central Africa	sensitive
KM049990	Central Africa	sensitive
node_222	Central Africa	sensitive
node_223	Central Africa	sensitive
AY829290	Southern Africa ex SA	sensitive
HM120145	Central Africa	sensitive
node_241	Central Africa	sensitive
node_241	Southern Africa ex SA	
KM050024	Central Africa	sensitive
node_258	Central Africa	sensitive
node_395	Central Africa	sensitive
node_402	Central Africa	sensitive
