node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
root	0.08909364523168484	0.10845274583959866	0.06559443774046433	0.184869277694064	0.06267748421368195	0.21149894883770273	0.18403235811954693	0.09378110232325658
n0	0.24842680280810603	0.06977658618048826	0.042555531030121704	0.11981409178025484	0.04023855936894341	0.13720653748357617	0.29457656450064273	0.04740532684786682
n11	0.021253907976904105	0.04719995975487336	0.020341584887047532	0.060189019218837084	0.029299831497615468	0.06575271651699476	0.41472497857182383	0.3412380015759038
n1	0.005288058182110491	0.0042606799957955735	0.002600702954363892	0.00732146171154969	0.0024564974808654917	0.008385081514242543	0.966872971719739	0.002814546441333236
n4	0.9995932546474062	4.8668659440218884e-05	2.970739950724787e-05	8.363176490901162e-05	2.805988572872068e-05	9.578139400626332e-05	8.875496569022256e-05	3.214128331190055e-05
n12	0.0023611146324945863	0.010425163269585638	0.001548267301696027	0.0113475641010604	0.015651596751958454	0.004998217606573699	0.8883215133236114	0.06534656301301975
n341	0.0017229211891888448	0.03681177602902392	0.001704321377967693	0.004851467466940514	0.014417138125345884	0.006039041661448875	0.012982729560951704	0.9214706045891324
n2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FJ467493	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n5	0.9999277922103947	8.745332154702628e-06	5.33834884516828e-06	1.502836341077951e-05	5.042069281683824e-06	1.7211684326604286e-05	1.507340923943594e-05	5.768582346665389e-06
n7	0.9999476239510444	6.6882314027922265e-06	4.0832593128424e-06	1.1494861052465941e-05	3.855909436565343e-06	1.3165064243587416e-05	8.699425129389872e-06	4.389298377781343e-06
n13	0.0013089577996533964	0.013963634820463925	0.0009983099668602112	0.014632935789206252	0.024099239755658586	0.003222445548655034	0.9164411158423733	0.025333360477129297
n309	0.0034692123697964094	0.002153736713139625	0.0006979921726045775	0.0028739313035573344	0.0024765688476052912	0.0022512501203562287	0.9066794641118726	0.07939784436106795
n342	0.0002715252308671573	0.005416868161208312	0.000268757675398744	0.0007644254990254636	0.002127374432950749	0.0009461023207163714	0.0019374383535017716	0.9882675083263315
n347	0.0031222016400691086	0.6386225676462929	0.0032609168100719865	0.008769515732033386	0.22664890770925475	0.020912456712353224	0.00705056344592249	0.09161287030400211
EF105379.2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EF105379	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EF105379.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	0.9999987928404337	1.559107676322574e-07	9.518867719354237e-08	2.679664358164247e-07	8.988518548811067e-08	3.069030679659241e-07	1.890939915247716e-07	1.0221144064682407e-07
EF105385	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n8	0.9999725890920137	3.544831804223392e-06	2.1642445950851967e-06	6.09258031099391e-06	2.0436534109186714e-06	6.977860300906851e-06	4.264107474000188e-06	2.323630090154854e-06
EF105378	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n14	0.00132062501328726	0.12217872631438219	0.00127994636055566	0.02318265719641648	0.004033654825130035	0.004144821193128371	0.8395255536615971	0.004334015435502998
n203	0.0011723349123651885	0.007602626016728687	0.0010216312903064137	0.02166460443136211	0.049010961991898076	0.003295696165317617	0.9034669023528493	0.012765242839172655
n310	0.00016396239269246635	0.00024374088672042397	0.0001445699509127016	0.0007237745010142543	0.00014901265855523545	0.0004661215516003918	0.00651000493980008	0.9915988131187046
n325	0.0048055266771164905	0.0006749311172095684	0.00026783160024954864	0.0009664965706194744	0.0006778236773216641	0.0008637211872187149	0.9730684762235415	0.018675192946722832
n343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n344	0.00010110373176182726	0.001528725683502685	0.00010028108837641826	0.0002844525834759995	0.0006083842169242529	0.00034514219067834735	0.0005835280731428402	0.9964483824321377
n348	0.00013391742960256424	0.9727199359557619	0.0003613396841160021	0.00037612346051803627	0.006375337212604916	0.017135530287534756	0.0002886295474701573	0.0026091864223916684
HM582107	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
EF105387	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105388	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n9	0.9999999999796935	2.6265973264204713e-12	1.6036309694796925e-12	4.5143926253489264e-12	1.5142760344114795e-12	5.170354990527722e-12	3.1556459897907017e-12	1.721698305007696e-12
EF457904	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n15	6.430241646314839e-06	0.9992595544175115	6.392602375171334e-06	2.9670981832392307e-05	7.720879640777092e-06	0.00016990556971684234	0.0005116972066871097	8.628100589997682e-06
n180	0.00024838000758871994	0.009591108472080537	0.0002449140163398196	0.042326456368587034	0.0004474681838692889	0.0007910241126953952	0.9458611854686335	0.0004894633702055793
n204	5.986925852819344e-05	0.00018224057754369295	5.753058693353634e-05	0.0004408416540152807	0.000767495144772328	0.00018551423067100366	0.9980715435529616	0.00023496499457440314
n307	0.004078164872981679	0.009589149005076536	0.003992317548114028	0.12574794048223192	0.36185358743413737	0.012872776166946777	0.47157743389760487	0.01028863059290671
n311	4.880490002718156e-06	7.450981716686393e-06	4.457175844946508e-06	0.00045279590069392274	4.479590892379545e-06	1.4370747725455914e-05	0.0001436452417514773	0.9993679198713725
n324	7.303638976738982e-10	1.1808288106062155e-09	7.187310001189243e-10	2.1880997785227937e-09	6.85184534714151e-10	2.3173031449529356e-09	4.652790177397711e-09	0.9999999875266986
