,Ap,Ef,Lb,Lbl,Lc,Li,Ln,Ls,Lx,Ma,Mc,Ml,My,Nh,Ph,Ps,Tb
Ap,0.001,3,26.1,23,15,11,20,37.3,11,38,40,33,36,42,62,46,26
Ef,3,0.001,29.1,26,12,8,23,40.3,8,41,43,36,39,45,65,49,29
Lb,26.1,29.1,0.001,3.1,41.1,37.1,6.1,11.2,37.1,11.9,13.9,6.9,9.9,15.9,35.9,19.9,0.1
Lbl,23,26,3.1,0.001,38,34,3,14.3,34,15,17,10,13,19,39,23,3
Lc,15,12,41.1,38,0.001,4,35,52.3,4,53,55,48,51,57,77,61,41
Li,11,8,37.1,34,4,0.001,31,48.3,0.001,49,51,44,47,53,73,57,37
Ln,20,23,6.1,3,35,31,0.001,17.3,31,18,20,13,16,22,42,26,6
Ls,37.3,40.3,11.2,14.3,52.3,48.3,17.3,0.001,48.3,0.7,2.7,4.3,1.3,4.7,24.7,8.7,11.3
Lx,11,8,37.1,34,4,0.001,31,48.3,0.001,49,51,44,47,53,73,57,37
Ma,38,41,11.9,15,53,49,18,0.7,49,0.001,2,5,2,4,24,8,12
Mc,40,43,13.9,17,55,51,20,2.7,51,2,0.001,7,4,2,22,6,14
Ml,33,36,6.9,10,48,44,13,4.3,44,5,7,0.001,3,9,29,13,7
My,36,39,9.9,13,51,47,16,1.3,47,2,4,3,0.001,6,26,10,10
Nh,42,45,15.9,19,57,53,22,4.7,53,4,2,9,6,0.001,20,4,16
Ph,62,65,35.9,39,77,73,42,24.7,73,24,22,29,26,20,0.001,16,36
Ps,46,49,19.9,23,61,57,26,8.7,57,8,6,13,10,4,16,0.001,20
Tb,26,29,0.1,3,41,37,6,11.3,37,12,14,7,10,16,36,20,0.001
