,Ap,Ef,Lb,Lbl,Lc,Li,Ln,Ls,Lx,Ma,Mc,Ml,My,Nh,Ph,Ps,Tb
Ap,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
Ef,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1
Lb,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Lbl,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Lc,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Li,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Ln,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
Ls,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Lx,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Ma,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
Mc,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
Ml,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
My,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
Nh,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1
Ph,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Ps,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
Tb,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
