	norm_rf	norm_qt
0 vs 1	0.05555555555555555	0.0012294583079732197
0 vs 2	0.05555555555555555	0.002901978954555985
0 vs 3	0.027777777777777776	0.00042570789140799846
0 vs 4	0.027777777777777776	0.00042570789140799846
1 vs 2	0.08333333333333333	0.003709714815673545
1 vs 3	0.05555555555555555	0.0012294583079732197
1 vs 4	0.05555555555555555	0.0012294583079732197
2 vs 3	0.027777777777777776	0.0024741614664586585
2 vs 4	0.027777777777777776	0.0024741614664586585
3 vs 4	0.0	0.0
mean	0.041666666666666664	0.0016099807409882504
