	norm_rf	norm_qt
real vs 0	0.08620689655172414	0.0005378981937878535
real vs 1	0.08333333333333333	0.0014312800826370867
real vs 2	0.07792207792207792	0.004169019911513457
real vs 3	0.06818181818181818	0.00031288295765144453
real vs 4	0.08444444444444445	0.0007081328460778271
mean	0.0800177140866796	0.0014318427983335336
