,Afghanistan,Algeria,Argentina,Austria,Azerbaijan,Bangladesh,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Mauritania,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Svalbard,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,USA,Uganda,Ukraine,United Arab Emirates,United Kingdom,Viet Nam,Zaire,Zambia,Zimbabwe
Afghanistan,0.001,1.6970576267613604e-07,6.520667816583147e-08,2.1810529079258445e-07,5.662422478739564e-07,3.795827562773916e-07,1.900218214353666e-07,1.4481507204298138e-07,3.965273675329273e-07,2.3720527167656806e-07,1.3361258055737873e-07,7.459243832787057e-08,2.742926084820208e-07,1.4085003913854344e-07,1.8286994983336758e-07,2.1642896183456312e-07,1.6050614778390085e-07,1.0487385840145218e-07,1.8620285081865118e-07,1.9847409202387762e-07,6.303563287219042e-08,2.7193059702379953e-07,7.186474471003315e-08,7.027728659531193e-08,1.3040575867810123e-07,2.2650154098281667e-07,7.736108714590309e-08,2.251913012728889e-07,1.799839106221272e-07,7.950480646064105e-08,2.919196348389874e-07,7.075596937063326e-08,1.4986379496519446e-07,2.452416318404536e-07,2.54856515234359e-07,2.293218409346763e-07,1.8319538939211985e-07,1.4868258889848715e-07,1.1859854939191896e-07,4.674899268408156e-07,2.036288464786177e-07,1.353354075038019e-07,2.5659926198560296e-07,1.4200327887965397e-07,8.016164945219402e-08,7.126724020330279e-08,1.2561376054978056e-07,7.87800435382636e-08,7.196537692560392e-08,2.4521396812745395e-07,5.349812672803998e-07,1.3969807648267497e-07,8.829749661033745e-07,5.104047239505887e-07,3.5140613401276585e-07,2.155810417300491e-07,1.5269740595432298e-07,3.6488043967784365e-07,5.936032383116478e-07,2.2074654544540682e-07,2.3155625986993216e-07,2.479246263971408e-07,3.69594617058057e-07,1.222952384296143e-07,2.4710471990081356e-07,2.5723414754853535e-07,1.620818886049808e-07,1.6705681231528373e-07,1.4149739670962596e-07,1.3073469685000055e-07,7.322737303222622e-08,2.714983056849974e-07,2.4176973493524334e-07,1.550868493259622e-07,1.5366405418085263e-07,2.8873766184982833e-07,1.259549492074024e-07,5.254484516621223e-07,1.6665892967417495e-07,1.5762874013285915e-07,1.9939000584374723e-07,6.462779023489821e-07,1.7248224522513995e-06,6.954272183799183e-08,6.540007814023359e-08,1.6213174757560896e-07,2.3997690789662764e-07,6.362311038546123e-07,1.5507633441467988e-07,2.714983056849974e-07,2.5382293943020634e-07,1.872206363322456e-07,4.6814249786434e-07,1.2250172850908238e-07,2.5155722097700664e-07,1.2127134053284126e-07,2.2448011156270134e-07,3.3007522464152956e-07,1.2327182285042082e-07,1.779482238203279e-07,1.6456626079246614e-07,3.0123093554342315e-07,2.467616862181065e-07,1.8327513846114753e-07,2.00417732245672e-07,4.0053816553110996e-07,1.807741660822466e-07,1.1663379799314506e-06,1.8672638731003796e-07,2.467616862181065e-07,1.946504343401569e-07,3.607544026509937e-07,8.384387220302376e-08,2.02242703395274e-07,3.070263948510271e-07,6.820859651084829e-07,1.7697729045342378e-07,2.210011840449113e-07,1.799839106221272e-07,1.5418173685250003e-07,1.4396339606796795e-07
Algeria,1.6970576267613604e-07,0.001,1.0159797547420664e-07,4.299000831466568e-07,2.3384683692847546e-07,1.1733073525787341e-07,3.9430072211691077e-07,4.879480140478466e-07,1.189512229996589e-07,4.4962137178574527e-07,1.6735750051034608e-07,1.3290494768715445e-07,3.8692508272918916e-07,5.746909448468742e-07,2.2075127981798358e-07,9.533965508495027e-08,3.8255737512006016e-07,1.2857816127636398e-07,3.333164820433021e-07,4.5638747676740907e-07,9.853019103158168e-08,1.0791880841879017e-07,1.199968178634009e-07,1.0861322057580569e-07,4.222394747179718e-07,4.538351671871272e-07,1.2099325456636064e-07,3.7896788448874035e-07,2.5724859249123144e-07,1.336289477323396e-07,3.752602986623518e-07,1.0539738283504204e-07,3.364562585284559e-07,2.583530787987115e-07,2.3304550021811055e-07,2.3117898197817722e-07,5.00104540571173e-07,2.991741863238967e-07,3.861741875066018e-07,2.5222222732645994e-07,3.8415119464861087e-07,4.3948114104087053e-07,4.675431454689096e-07,1.8060077712212463e-07,1.4464975352916752e-07,1.0494629338000563e-07,4.309547024025331e-07,1.3067419674041836e-07,1.0873536148284162e-07,3.879922971953623e-07,1.3383233339510592e-07,7.738822803932371e-08,2.0823150626485782e-07,2.5316407249053454e-07,3.241770204033564e-07,5.350953292468333e-07,8.69430080443545e-08,3.1196684209412144e-07,1.6864184441335292e-07,2.0936413052470138e-07,9.793279217851988e-08,2.733865985096378e-07,3.1348788318293506e-07,3.6754564702133916e-07,2.8313112082725426e-07,4.3341598705862545e-07,1.4053473563521833e-07,8.483737174625116e-08,7.070823949288121e-07,5.673767421781225e-07,9.807754221685145e-08,1.1525928732567556e-07,4.7062814875810336e-07,1.123878590175729e-06,1.620649002974354e-07,1.0688441320243728e-07,1.7441735789205443e-07,1.282763954100827e-07,7.017229343911023e-07,4.853882029926625e-07,2.6220862786079576e-07,1.8231377677083144e-07,1.554132731422886e-07,1.1568694440980352e-07,1.0559961482525256e-07,8.304621681943163e-08,3.313945769191827e-07,2.0935601442262186e-07,2.893649463224535e-07,3.598562816743702e-07,1.2944527461630974e-07,2.2726095278157106e-07,2.392403759722002e-07,4.2634637501966973e-07,4.1761374431167834e-07,3.785292277106327e-07,4.4261485929571033e-07,1.9237050975338145e-07,1.494121543510421e-07,9.281228656559667e-08,6.763219494687476e-07,1.1798696441034805e-07,3.1894817585663727e-07,1.7761490718704584e-07,4.643636519853915e-07,2.9446180955216543e-07,8.878733337766656e-08,1.5896948414464846e-07,1.9624074289641413e-07,1.0091214264321539e-07,1.1394798002640444e-06,3.1317682669601436e-07,1.1175051782475364e-07,2.3269899954228606e-07,2.939818603840462e-07,1.965029409237096e-07,3.4290920515675114e-07,9.60169799284442e-08,2.5724859249123144e-07,1.7928528079550814e-07,1.651712988542852e-07
Argentina,6.520667816583147e-08,1.0159797547420664e-07,0.001,8.439659049463911e-08,7.115149542837211e-08,5.7903028693605384e-08,8.687057320836334e-08,1.1795245573682486e-07,5.718106683406838e-08,8.355405658538571e-08,1.1761745229987232e-07,3.555932763464834e-07,8.055914040170842e-08,1.1952174899031716e-07,9.836498580043659e-08,5.7371232267772115e-08,1.0981983986629115e-07,9.259792096250246e-08,1.0013891518718378e-07,9.704492173865982e-08,1.2561838066810048e-06,5.260210381285559e-08,2.3314480389302206e-07,1.883583519946209e-07,1.2891259330463716e-07,8.428517360542949e-08,1.5693640079770444e-07,8.247274522714184e-08,1.0079483778369491e-07,1.6926586101522142e-07,8.34831511445195e-08,1.6904582873662046e-07,1.1536092319364908e-07,7.59098066528293e-08,8.611693698718194e-08,7.494748886896107e-08,9.041125608792524e-08,1.1576365001063286e-07,1.3761417680503995e-07,7.256080048995299e-08,8.469185802831692e-08,1.2484030239551545e-07,8.3462006327903e-08,8.400549231545426e-08,1.9569525767946263e-07,1.62743422671463e-07,1.32066142825523e-07,1.6854969017852312e-07,1.6879592579877353e-07,8.151616784948074e-08,6.294524444637084e-08,6.382767727086008e-08,7.027557182821761e-08,7.417146139492816e-08,7.923698220802532e-08,8.662338296504034e-08,5.552557163309192e-08,7.872493908261609e-08,6.340391865724837e-08,8.942967641189852e-08,5.577962075223284e-08,7.667418735441552e-08,7.797856006792506e-08,1.3746987227781517e-07,7.725403139983962e-08,8.241154959435005e-08,9.446847479521918e-08,6.06130888356012e-08,1.17668126144918e-07,1.2303085195888945e-07,1.3365079477825282e-07,5.439682361149225e-08,8.384489931937523e-08,1.0451014940329344e-07,1.031841082188871e-07,5.6141732383277e-08,1.2690156615109693e-07,5.912732202942433e-08,1.0624013766203517e-07,1.1097381298284415e-07,7.992125412421092e-08,7.090959998374565e-08,6.3720648827822e-08,7.393711098897956e-07,3.416935055679209e-07,5.681263125517437e-08,7.985537525554355e-08,7.249632401554047e-08,1.1189696770939128e-07,7.961908462005039e-08,5.9210265334859825e-08,9.747355482404987e-08,7.57422343710608e-08,1.333508971510447e-07,8.211583018730042e-08,1.3769966922920427e-07,8.417965850367298e-08,7.844692752638766e-08,1.2335959484943828e-07,5.2827117961517703e-08,9.754166893200114e-08,6.516708210386034e-08,8.854573746982027e-08,7.387725672371766e-08,8.700913843422116e-08,7.657357757032527e-08,5.334447828832533e-08,6.251747632560869e-08,9.553272697596179e-08,5.758752329144003e-08,9.341421597956544e-08,7.697798485824718e-08,1.1532597821548421e-07,9.407905250577654e-08,7.590252609312626e-08,7.156052013937045e-08,8.757222432460589e-08,5.625077692986126e-08,1.0079483778369491e-07,1.0577793695421506e-07,1.0932134463928183e-07
Austria,2.1810529079258445e-07,4.299000831466568e-07,8.439659049463911e-08,0.001,3.5430752816721826e-07,1.4077242308693325e-07,1.2753864303374454e-06,2.31372062298705e-07,1.4531638460855563e-07,1.9272290044983117e-06,1.2899743832687748e-07,1.0823198814809059e-07,9.666077844573979e-07,2.4595445952442036e-07,1.7056580292212196e-07,1.1009937507124191e-07,2.182344318225752e-07,1.5461743546727626e-07,2.207890161911504e-07,2.760005286771319e-07,8.334955458860163e-08,1.3578122210713596e-07,1.0715551755357345e-07,1.0260884000680724e-07,2.1306526391646539e-07,3.4172833603549166e-06,1.1731353674343712e-07,3.193168260238961e-06,1.863888820277637e-07,1.244586222969648e-07,3.723103459021105e-07,1.0215227658753655e-07,1.986849198722369e-07,6.472410130151747e-07,2.0214397660010908e-07,4.972173555591997e-07,1.137943405522341e-06,1.8668134901495153e-07,2.1416748572103838e-07,4.084769982836413e-07,1.938517141390392e-06,2.1759546924995158e-07,8.606951306212217e-07,2.601643470394361e-07,1.2660831332253613e-07,1.0261067432978693e-07,2.1814992414620143e-07,1.2247099959176295e-07,1.0505526666700991e-07,1.9727669225475857e-06,1.5561932873194442e-07,8.568042093624616e-08,2.6651104919799487e-07,3.300990300571332e-07,3.9498806283259996e-07,1.9934454565434292e-06,1.0796778556729475e-07,3.7723401714723387e-07,2.4884607701084363e-07,1.7662953168147303e-07,1.1518219239205782e-07,7.484961726922401e-07,4.1513547194280557e-07,1.9916798949103399e-07,8.252045361197075e-07,1.0873380175815871e-06,1.2219983833223508e-07,9.526854501132468e-08,2.6878746336047025e-07,2.63214914840015e-07,1.0105608680454179e-07,1.5201616999141046e-07,1.3455237858208137e-06,4.336788328459128e-07,1.3193162183365363e-07,1.2736187629513913e-07,1.3009701574497176e-07,1.572249286673867e-07,2.849905949054217e-07,2.3989359307600683e-07,6.073368380871209e-07,2.0499392254522873e-07,1.9363839390954377e-07,9.478632125900716e-08,9.285687435597695e-08,9.69622428424548e-08,1.4130320437110013e-06,2.4318010399491536e-07,1.8667231655882128e-07,1.105745626626466e-06,1.830758406910584e-07,1.753728737641693e-07,2.6806937528135793e-07,2.2317583734236598e-07,1.4234094765076074e-06,2.039295148443043e-07,5.117146118014728e-06,1.8781087118792225e-07,1.1735980566888644e-07,1.1614177861297248e-07,6.201826541577388e-07,1.288153676351181e-07,2.562436300907953e-07,2.9155767719963655e-07,2.4648142427694315e-06,4.0561550583252195e-07,1.068683260657884e-07,2.141353794721384e-07,1.5922282536011312e-07,1.1696483571338217e-07,6.560672386734121e-07,5.047800425095998e-07,1.2039620351779657e-07,1.8373647215236356e-07,7.155429835377672e-07,2.2600152264653858e-07,7.638637504496285e-07,1.121641936987863e-07,1.863888820277637e-07,1.4083153693043513e-07,1.3086719623708775e-07
Azerbaijan,5.662422478739564e-07,2.3384683692847546e-07,7.115149542837211e-08,3.5430752816721826e-07,0.001,2.298686571487177e-07,2.8405362575269076e-07,1.7789984124514823e-07,2.3932350412723484e-07,4.07849425271463e-07,1.3633091932083237e-07,8.486794936411312e-08,5.301964300385731e-07,1.757683475067463e-07,1.927327225711946e-07,1.5759808851823673e-07,1.920914744502652e-07,1.1976159165503348e-07,2.197182710903444e-07,2.5315523395513287e-07,6.934810654862751e-08,1.994169558518153e-07,8.231001597481642e-08,7.981361348657728e-08,1.5857647671061147e-07,3.774992407585746e-07,8.879622726823041e-08,3.7123547773767007e-07,1.987992813567456e-07,9.223052093948724e-08,4.547126584733216e-07,7.996900213402155e-08,1.7565947668439611e-07,3.919530937259496e-07,2.6867946956503204e-07,3.3721323893563887e-07,2.707301111708033e-07,1.7091362490682223e-07,1.457238860121033e-07,2.671527599355443e-06,3.1534116273861913e-07,1.6477605529563115e-07,4.578388376384108e-07,1.7553789452543593e-07,9.3380196535859e-08,8.04413630782806e-08,1.541076045718944e-07,9.119048293712095e-08,8.163893446830998e-08,4.3184400595181183e-07,2.77302850786791e-07,1.1225165251919255e-07,9.395814215500193e-07,1.125064854739966e-06,6.579662618248076e-07,3.4739111048136125e-07,1.3215347952276808e-07,6.764510040807888e-07,5.466395490234341e-07,2.2328227266948447e-07,1.6669068005059555e-07,4.0854539393520845e-07,7.862426610037919e-07,1.474633141905576e-07,4.115713813040714e-07,4.6787833556842917e-07,1.4930686582471367e-07,1.293119252751582e-07,1.796640967896678e-07,1.65680857582948e-07,8.129083053550347e-08,2.1705652100605358e-07,4.195461146636418e-07,2.109247523222717e-07,1.5079688253515136e-07,1.9428467413268835e-07,1.3146614026406567e-07,2.7740770321892257e-07,2.1404592079977567e-07,1.9425838925270688e-07,2.890267061630147e-07,4.2700312400325086e-07,4.262979885368962e-07,7.744762671113904e-08,7.38427920759918e-08,1.2858077164578403e-07,4.0753223899378015e-07,5.883582822792475e-07,1.7687003153767672e-07,5.211132204963405e-07,2.395875823202342e-07,1.9875442393863967e-07,5.764787296651241e-07,1.5130373074132698e-07,4.52226637067466e-07,1.471617086041981e-07,3.718776264946327e-07,2.956448507336902e-07,1.2394159105223428e-07,1.489209237430688e-07,2.3160410519178012e-07,2.0062703501004042e-07,3.033468879426537e-07,2.2929310251681195e-07,3.099780684119852e-07,9.660579588129508e-07,1.4295061824919372e-07,4.962911166569937e-07,1.884910737962785e-07,1.7273493704132912e-07,2.8881496341760356e-07,9.2317339179736e-07,9.440106021619459e-08,2.152183422760841e-07,6.47753604144049e-07,5.186581288307703e-07,2.538199510234786e-07,1.6079634522440117e-07,1.987992813567456e-07,1.5612455573217483e-07,1.4411851950050552e-07
Bangladesh,3.795827562773916e-07,1.1733073525787341e-07,5.7903028693605384e-08,1.4077242308693325e-07,2.298686571487177e-07,0.001,1.297969926753727e-07,1.0678430723089925e-07,2.5577069896289664e-06,1.473132160829917e-07,1.1404933489544233e-07,6.246411368056594e-08,1.6044897929252112e-07,1.0378589195506438e-07,1.3949196062076086e-07,5.012593624460973e-07,1.1725561889883713e-07,9.360302800066574e-08,1.3211169216523308e-07,1.3426978771464804e-07,5.546014933590608e-08,5.280344838714632e-07,6.115562215825801e-08,6.177608002915683e-08,9.841372216682884e-08,1.4347889524936091e-07,6.731110028955004e-08,1.446296796365518e-07,1.3358354801981376e-07,6.752208281488787e-08,1.6710175444817005e-07,6.322119063563769e-08,1.1224614452909702e-07,1.5957370197125173e-07,1.723025697864433e-07,1.569625365227431e-07,1.2528548727413628e-07,1.1277166600848804e-07,9.060193114246314e-08,2.1227388485992703e-07,1.3594932900048897e-07,1.0142460587304684e-07,1.53366909249117e-07,1.148926556326743e-07,6.680222315992349e-08,6.396215780481192e-08,9.50644899527537e-08,6.719119896520185e-08,6.380344957044173e-08,1.514223032720667e-07,7.078042632185545e-07,2.1882358274582362e-07,2.683510488639841e-07,2.1854082012662124e-07,1.8334614830957647e-07,1.3847829647686408e-07,2.09744700291221e-07,1.872252325828538e-07,3.0345321771997293e-07,1.6262406771036034e-07,5.904335931233261e-07,1.5888005147823425e-07,1.8750904716899348e-07,9.361588414313456e-08,1.5764674387557198e-07,1.5414277314756315e-07,1.4835775259330416e-07,2.9463709167139683e-07,1.0360458817967516e-07,9.733166154013781e-08,6.827572828260145e-08,3.5871311941187205e-07,1.485218396462162e-07,1.101673602232539e-07,1.3188722926891237e-07,1.1773015037246127e-06,1.0644986514065218e-07,1.33999837798586e-06,1.1746971655024408e-07,1.1412463601424581e-07,1.396674349246889e-07,2.9375794282593257e-07,4.784817937721795e-07,5.963594380305895e-08,5.5954505069086414e-08,2.792445139245396e-07,1.5183838357384714e-07,2.557906566121545e-07,1.1711234727106695e-07,1.6066470529326491e-07,2.454678230841866e-07,1.4103844424093317e-07,2.202156082905364e-07,9.290880395543138e-08,1.52701262192344e-07,9.27044778546422e-08,1.4292878885036062e-07,2.1684612216385196e-07,1.0893232466996506e-07,2.5994060762430867e-07,1.1549781329484394e-07,4.7335497933710386e-07,1.579123733832685e-07,1.4391310983997541e-07,1.3318937893347413e-07,1.949667808868379e-07,3.170142754787079e-07,4.090512120220287e-07,1.4649247038387326e-07,6.915277107434535e-07,1.2868337110197396e-07,1.8530183290830636e-07,7.632112740968981e-08,1.4837928374313366e-07,1.7491609410909911e-07,2.737653222362608e-07,1.2483203782344646e-07,5.285667702477195e-07,1.3358354801981376e-07,1.2788805972375777e-07,1.2309279453294087e-07
Belgium,1.900218214353666e-07,3.9430072211691077e-07,8.687057320836334e-08,1.2753864303374454e-06,2.8405362575269076e-07,1.297969926753727e-07,0.001,2.1808141842128588e-07,1.341509493937864e-07,7.706485218772198e-07,1.2044080867682173e-07,1.1358314932818796e-07,5.518422417586104e-07,2.3637338099375808e-07,1.535893736078824e-07,1.0357360193272701e-07,1.990016754835543e-07,1.7392439460285822e-07,1.957780567850587e-07,2.3828819638234818e-07,8.641460532505141e-08,1.2860351314624607e-07,1.1517245538047369e-07,1.109390835038487e-07,2.0743710712466768e-07,9.413999306932748e-07,1.2868291669013442e-07,1.2085785614660797e-06,1.6741902078158874e-07,1.365671881286195e-07,2.9074522934216837e-07,1.1072349133161628e-07,1.8377510195301605e-07,6.000380903727604e-07,1.7586596025016092e-07,5.116733213697362e-07,1.795131676586731e-06,1.7269122623005462e-07,2.2020053877602566e-07,3.1761285837406223e-07,2.840347077845801e-06,2.0917161734097637e-07,5.190643820261851e-07,3.1324314661802255e-07,1.3758320474070722e-07,1.1134616344150002e-07,2.1748334373510066e-07,1.343065906167839e-07,1.1409406253966525e-07,8.034500715813712e-07,1.4039645376248218e-07,8.167276081148432e-08,2.2256246591247426e-07,2.632946262467774e-07,3.016662556497385e-07,8.976428480037786e-07,1.0651960365336009e-07,2.911513038429406e-07,2.2186971940010387e-07,1.56681803298844e-07,1.0843177698053501e-07,6.523887894355983e-07,3.1326494893488545e-07,1.9717646281122076e-07,6.933403106390829e-07,5.875620554317818e-07,1.12327579222144e-07,9.026211874823503e-08,2.6177639558245337e-07,2.7038411139313467e-07,1.0975193956406194e-07,1.4530942588064102e-07,6.625586829094579e-07,4.507359155684177e-07,1.2149296791506417e-07,1.1884819401916483e-07,1.2243606485687652e-07,1.4347960822960135e-07,2.577248164797873e-07,2.2015938611884193e-07,7.713813740298705e-07,1.7707314673054653e-07,1.7129755029974636e-07,9.824485011066263e-08,9.833053111973473e-08,9.300681094835976e-08,8.941434179053494e-07,2.0472500222799653e-07,1.7129503580303146e-07,6.105131365014204e-07,1.7810537194446168e-07,1.57376562242533e-07,2.2154923747538018e-07,2.2749398203918576e-07,6.731270095848767e-07,2.0384194005561393e-07,1.026803933274485e-06,1.638080085385242e-07,1.1038770692599748e-07,1.1332751672731124e-07,7.380570107646218e-07,1.1771275243587751e-07,2.170168071125392e-07,3.226607180930562e-07,1.9345850545915423e-06,3.0836183281121274e-07,1.0276504747056482e-07,1.9012579966263814e-07,1.4362474211685794e-07,1.0936836126277714e-07,5.227009213078031e-07,3.6365127453386064e-07,1.3284586665506472e-07,1.6339208152656297e-07,4.977360379916952e-07,1.9252551505603102e-07,1.8545930989951728e-06,1.0568759220052006e-07,1.6741902078158874e-07,1.2953065867602795e-07,1.2122199642106438e-07
Benin,1.4481507204298138e-07,4.879480140478466e-07,1.1795245573682486e-07,2.31372062298705e-07,1.7789984124514823e-07,1.0678430723089925e-07,2.1808141842128588e-07,0.001,1.0681861660446093e-07,2.429949026880978e-07,2.3714592744551275e-07,1.4929030606224605e-07,2.3141326815158023e-07,1.6548023352853382e-06,2.943513180337425e-07,8.975385540799891e-08,8.749941762499866e-07,1.0527899779180517e-07,4.798828293615496e-07,5.207599268738754e-07,1.1162169824612015e-07,9.475741068230728e-08,1.2168108655398936e-07,1.060357205654876e-07,1.2273443777244233e-06,2.408124921949479e-07,1.1315089338914467e-07,2.160591902890192e-07,3.661704649224285e-07,1.2673499866398084e-07,2.856141945954095e-07,1.010822478548574e-07,8.380920927029257e-07,1.7103984774819622e-07,2.5409721758045023e-07,1.5789861562429513e-07,2.471818487542202e-07,6.379227874775452e-07,4.764216764704001e-07,1.8521139433606035e-07,2.1537670556240862e-07,2.0154069627183477e-06,2.621542024064462e-07,1.3330907498584693e-07,1.4324739444564488e-07,9.99698326975836e-08,7.395697230979442e-07,1.238501147906492e-07,1.0400865375565135e-07,2.2304937982822715e-07,1.2384580168783832e-07,7.603426717028996e-08,1.73108118136006e-07,1.9980971675974744e-07,2.4122446785226575e-07,2.6079068297164963e-07,7.591497036862486e-08,2.366989524079125e-07,1.3456702574868647e-07,2.457690993469421e-07,9.075048247851793e-08,1.7781115091966077e-07,2.2929684120720358e-07,7.479536555088396e-07,1.8192726607735817e-07,2.4560826258220236e-07,1.6980369102220734e-07,8.203587011460624e-08,9.339251743613454e-07,5.202029457032514e-07,9.059250753955634e-08,9.780253626863458e-08,2.5271921926178673e-07,3.8444373299552863e-07,2.1143759711690668e-07,9.794331359652386e-08,2.6050826601128624e-07,1.1469605032311565e-07,1.0503188708756516e-06,1.5790011971146205e-06,1.7063429250026138e-07,1.6697271824311185e-07,1.3602931136311365e-07,1.3367567798308063e-07,1.119624984696688e-07,7.737735870205787e-08,2.007586641792918e-07,1.8311286102140035e-07,5.466860023218808e-07,2.1788595499347114e-07,1.0497666538887439e-07,3.003362622407571e-07,2.0691137851505817e-07,5.437237249887862e-07,2.3635230022735206e-07,6.596947637336684e-07,2.3672250897519055e-07,1.951057208042864e-07,2.0582868596572826e-07,8.106321644028334e-08,2.910930991116259e-07,1.1543779250711021e-07,3.249600824851074e-07,1.3023638061503624e-07,2.3853649173416697e-07,2.174504885058046e-07,8.04368789402738e-08,1.3302140562604144e-07,2.4895031559858537e-07,9.462920989956151e-08,3.5720248704879843e-07,2.167304249181524e-07,9.835446508385744e-08,2.918849450043287e-07,1.9305199796388026e-07,1.7507030716452368e-07,2.0202290352939708e-07,8.949825124381622e-08,3.661704649224285e-07,2.4458861371959355e-07,2.2420545691147874e-07
Bhutan,3.965273675329273e-07,1.189512229996589e-07,5.718106683406838e-08,1.4531638460855563e-07,2.3932350412723484e-07,2.5577069896289664e-06,1.341509493937864e-07,1.0681861660446093e-07,0.001,1.5172370947402205e-07,1.1102353291735338e-07,6.27850306096315e-08,1.6539724083395286e-07,1.0418326503796593e-07,1.3640338814901794e-07,4.5391486400884803e-07,1.1661279696434031e-07,9.714606816113906e-08,1.3094647873413322e-07,1.3412516011626765e-07,5.493591770911639e-08,6.212896401904925e-07,6.230160285916493e-08,6.323735325719042e-08,9.855975746883162e-08,1.4786724176751607e-07,6.902322176974519e-08,1.4973763752828761e-07,1.3139922343444877e-07,6.907437974430574e-08,1.686897305345856e-07,6.480487782329651e-08,1.1142213639551356e-07,1.673364243241244e-07,1.689283466620368e-07,1.6516638331342606e-07,1.2892506895717535e-07,1.1164718127307609e-07,9.129341269821011e-08,2.2079169343018393e-07,1.406743034050891e-07,1.0148803138001241e-07,1.5720702969262304e-07,1.19906379670354e-07,6.802734986584505e-08,6.559139623319777e-08,9.550332402332603e-08,6.876183967536975e-08,6.539834028832175e-08,1.5654941610179495e-07,6.227566527028316e-07,2.0858589849965578e-07,2.7447948494928686e-07,2.2317661665509562e-07,1.8634144646793585e-07,1.4230215292711101e-07,2.1965078564041586e-07,1.9014182550499766e-07,3.338571438787098e-07,1.5840266464569125e-07,5.492116617694473e-07,1.662507214640222e-07,1.9135616861321364e-07,9.378762924172824e-08,1.6473484638027396e-07,1.5853224536000769e-07,1.420093230426173e-07,2.758749087512334e-07,1.0432605732656161e-07,9.835978870667744e-08,7.013273788624992e-08,4.134740653143746e-07,1.5267086372001364e-07,1.1211705770162044e-07,1.2759489217959762e-07,1.028227513056023e-06,1.0401338634374618e-07,1.5548846531098473e-06,1.1785503587144834e-07,1.1399060180633646e-07,1.4587999379264171e-07,2.8849293852810384e-07,4.953943118538047e-07,5.9429388311780096e-08,5.6770569804645186e-08,2.7427404377126144e-07,1.5779103253177554e-07,2.5621505691012506e-07,1.1576871452150773e-07,1.6621802559631905e-07,2.715206065513625e-07,1.3805140899166424e-07,2.2080226894651015e-07,9.359194728734661e-08,1.5739920960491722e-07,9.303132547458942e-08,1.4740701571194625e-07,2.103070027245014e-07,1.0582606027137327e-07,2.764795222423619e-07,1.1824139352425346e-07,4.030874978620474e-07,1.5696655346908213e-07,1.51927087018144e-07,1.3729538021825642e-07,1.9949698713690118e-07,3.235812269584002e-07,4.5203855939373996e-07,1.424359938404977e-07,5.890509519339321e-07,1.3108168484417924e-07,1.906861200735698e-07,7.86681718325623e-08,1.4531921629523357e-07,1.8225135699600085e-07,2.7251754939284256e-07,1.292199176253618e-07,4.892719601011266e-07,1.3139922343444877e-07,1.2432710951494624e-07,1.1945702930460012e-07
