accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
FM210208	DENV2_FM210208_AsianAmerican_VN_2003	VN	DENV2	AsianAmerican	2003.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482693	DENV2_EU482693_AsianAmerican_NI_2006	NI	DENV2	AsianAmerican	2006.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ639704	DENV2_FJ639704_Asian_I_KH_2003	KH	DENV2	AsianI	2003.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210237	DENV2_FM210237_AsianAmerican_VN_2003	VN	DENV2	AsianAmerican	2003.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ850088	DENV2_FJ850088_AsianAmerican_BR_2006	BR	DENV2	AsianAmerican	2006.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
GU131899	DENV2_GU131899_Asian_I_KH_2008	KH	DENV2	AsianI	2008.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868497	DENV2_GQ868497_AsianAmerican_MX_2006	MX	DENV2	AsianAmerican	2006.0	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ898450	DENV2_FJ898450_AsianAmerican_VI_1990	VI	DENV2	AsianAmerican	1990.0	VIR	Americas	United States Virgin Islands	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
AB189123	DENV2_AB189123_Cosmopolitan_ID_1998	ID	DENV2	Cosmopolitan	1998.0	IDN	Asia	Indonesia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ868622	DENV2_GQ868622_Asian_I_KH_2003	KH	DENV2	AsianI	2003.0	KHM	Asia	Cambodia	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ850066	DENV2_FJ850066_AsianAmerican_NI_2000	NI	DENV2	AsianAmerican	2000.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
GQ868604	DENV2_GQ868604_AsianAmerican_NI_2005	NI	DENV2	AsianAmerican	2005.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482654	DENV2_EU482654_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF276619	DENV2_AF276619_Cosmopolitan_CN_1987	CN	DENV2	Cosmopolitan	1987.0	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
KJ010185	DENV2_KJ010185_Cosmopolitan_PK_2011	PK	DENV2	Cosmopolitan	2011.0	PAK	Asia	Pakistan	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
JQ922553	DENV2_JQ922553_American_IN_1980	IN	DENV2	American	1980.0	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
